ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.3130,0.2964,0.4310,no,10.80,yes
Al III,1862.790,0.2780,1.4581,0.9430,0.6062,1.1210,no,5.40,yes
Zn II,2026.137,0.5010,0.0000,0.0000,0.0000,0.0000,no,10.58,yes
Cr II,2056.254,0.1050,0.2116,0.4654,0.1365,0.4850,no,2.25,no
Cr II,2062.234,0.0780,0.0988,0.1537,0.1237,0.1973,no,1.68,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,5.29,yes
Cr II,2066.161,0.0510,0.0486,0.1671,0.0703,0.1813,no,1.10,no
Fe II,2249.877,0.0018,0.0000,0.0179,0.0000,0.0179,no,0.04,no
Fe II,2260.780,0.0024,0.1268,0.3397,0.0975,0.3534,no,0.06,no
Fe II,2344.214,0.1140,1.4463,0.4086,0.2809,0.4959,yes,2.78,no
Fe II,2374.461,0.0313,0.8029,0.3762,0.2671,0.4614,yes,0.77,no
Fe II,2382.765,0.3200,0.3528,0.2837,0.1900,0.3415,no,7.94,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,9.69,yes
Fe II,2586.650,0.0691,0.2719,0.1185,0.0490,0.1283,yes,1.86,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,7.57,yes
Fe II,2600.173,0.2390,0.0000,0.0618,0.0132,0.0632,no,6.48,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,5.38,yes
Mg II,2796.352,0.6150,0.6907,0.1781,0.1240,0.2170,yes,2.46,no
Mg II,2803.531,0.3060,1.1420,0.2273,0.1423,0.2682,yes,1.23,no
Mg I,2852.964,1.8300,0.7258,0.2655,0.0956,0.2822,yes,1.05,no
