ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0621,0.0000,0.0621,no,88.66,yes
Al III,1862.790,0.2780,0.2024,0.3375,0.2321,0.4096,no,44.28,yes
Zn II,2026.137,0.5010,0.0878,0.2146,0.2066,0.2979,no,86.80,yes
Cr II,2056.254,0.1050,0.0000,0.0599,0.0135,0.0614,no,18.46,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,13.76,yes
Zn II,2062.664,0.2460,0.0000,0.0048,0.0000,0.0048,no,43.39,yes
Cr II,2066.161,0.0510,0.1941,0.1245,0.0763,0.1460,no,9.01,yes
Fe II,2249.877,0.0018,0.3190,0.2192,0.1396,0.2599,no,0.35,no
Fe II,2260.780,0.0024,0.0000,0.0826,0.0492,0.0962,no,0.47,no
Fe II,2344.214,0.1140,0.6175,0.1159,0.0893,0.1463,yes,22.85,yes
Fe II,2374.461,0.0313,0.5019,0.1052,0.0662,0.1243,yes,6.36,yes
Fe II,2382.765,0.3200,0.6469,0.1005,0.0597,0.1168,yes,65.20,yes
Mn II,2576.877,0.3610,0.2864,0.0783,0.0734,0.1073,yes,1.65,no
Fe II,2586.650,0.0691,0.3603,0.0850,0.0644,0.1067,yes,15.28,yes
Mn II,2594.499,0.2800,0.0000,0.0222,0.0065,0.0231,no,1.29,no
Fe II,2600.173,0.2390,0.7272,0.0969,0.0884,0.1312,yes,53.14,yes
Mn II,2606.462,0.1980,0.0000,0.0320,0.0122,0.0343,no,0.91,no
Mg II,2796.352,0.6150,0.6373,0.0855,0.0770,0.1151,yes,45.81,yes
Mg II,2803.531,0.3060,0.7451,0.1013,0.0782,0.1280,yes,22.85,yes
Mg I,2852.964,1.8300,0.3551,0.1467,0.1075,0.1819,yes,2.02,no
