ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,2.6990,1.9835,1.3567,2.4030,no,250.30,yes
Al III,1862.790,0.2780,0.0000,0.3749,0.0000,0.3749,no,125.02,yes
Zn II,2026.137,0.5010,0.0000,0.6357,0.6734,0.9261,no,245.06,yes
Cr II,2056.254,0.1050,0.1909,0.5112,0.4052,0.6523,no,52.12,yes
Cr II,2062.234,0.0780,0.0636,0.2448,0.0318,0.2469,no,38.83,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,122.50,yes
Cr II,2066.161,0.0510,0.1298,0.2230,0.0649,0.2322,no,25.44,yes
Fe II,2249.877,0.0018,1.0347,0.5313,0.5577,0.7702,no,0.99,no
Fe II,2260.780,0.0024,0.0619,0.3533,0.2799,0.4507,no,1.33,no
Fe II,2344.214,0.1140,2.0023,0.4185,0.2964,0.5128,yes,64.52,yes
Fe II,2374.461,0.0313,0.7416,0.5437,0.1723,0.5703,no,17.94,yes
Fe II,2382.765,0.3200,1.6898,0.5431,0.6032,0.8117,yes,184.08,yes
Mn II,2576.877,0.3610,0.3127,0.2443,0.1490,0.2862,no,224.58,yes
Fe II,2586.650,0.0691,1.3599,0.2352,0.1785,0.2953,yes,43.15,yes
Mn II,2594.499,0.2800,0.1751,0.2181,0.0103,0.2184,no,175.38,yes
Fe II,2600.173,0.2390,1.5136,0.3528,0.2344,0.4235,yes,150.03,yes
Mn II,2606.462,0.1980,0.0000,0.0810,0.0000,0.0810,no,124.59,yes
Mg II,2796.352,0.6150,1.9349,0.1661,0.1363,0.2149,yes,121.41,yes
Mg II,2803.531,0.3060,1.6959,0.1790,0.1265,0.2192,yes,60.56,yes
Mg I,2852.964,1.8300,1.4328,0.2372,0.2617,0.3532,yes,12.64,yes
