epoch,detector,grating,scale,slope,intercept,factor
2024-05-22_day41,MAMA,G230L,none,None,None,None
2024-11-28_day232,MAMA,G230L,none,None,None,None
2024-11-28_day232,MAMA,G140L,none,None,None,None
