ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.1779,0.2203,0.2710,0.3493,yes,15.19,yes
Al III,1862.790,0.2780,1.2092,0.2446,0.2240,0.3317,yes,7.59,yes
Zn II,2026.137,0.5010,0.4966,0.1402,0.0687,0.1561,yes,0.97,no
Cr II,2056.254,0.1050,0.0000,0.0205,0.0000,0.0205,no,4.19,no
Cr II,2062.234,0.0780,0.0000,0.0140,0.0095,0.0169,no,3.12,no
Zn II,2062.664,0.2460,0.0000,0.0085,0.0000,0.0085,no,0.49,no
Cr II,2066.161,0.0510,0.0308,0.0406,0.0155,0.0434,no,2.04,no
Fe II,2249.877,0.0018,0.0205,0.0561,0.0394,0.0685,no,0.08,no
Fe II,2260.780,0.0024,0.1929,0.0887,0.0700,0.1130,yes,0.11,no
Fe II,2344.214,0.1140,1.3526,0.0886,0.2153,0.2328,yes,5.18,yes
Fe II,2374.461,0.0313,0.3378,0.1126,0.1312,0.1729,yes,1.44,no
Fe II,2382.765,0.3200,2.1217,0.1192,0.1924,0.2263,yes,14.79,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,0.32,no
Fe II,2586.650,0.0691,0.0955,0.0631,0.1291,0.1437,no,3.47,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,0.25,no
Fe II,2600.173,0.2390,0.9379,0.0798,0.1180,0.1425,yes,12.05,yes
Mn II,2606.462,0.1980,0.1487,0.0664,0.1038,0.1232,yes,0.18,no
Mg II,2796.352,0.6150,1.4855,0.0585,0.1404,0.1521,yes,35.19,yes
Mg II,2803.531,0.3060,2.7231,0.0631,0.2346,0.2430,yes,17.56,yes
Mg I,2852.964,1.8300,1.2853,0.0576,0.2292,0.2363,yes,2.82,no
