ion,logN,logN_err,n_lines,limit
Al III,14.756,0.451,2,>
Fe II,14.878,0.338,5,
Mg I,13.323,0.193,1,
Mg II,14.901,0.191,2,>
Mn II,13.123,0.986,1,
Zn II,13.572,0.233,1,
