epoch,detector,grating,scale,slope,intercept,factor
2025-08-14_day19,MAMA,G230L,none,None,None,None
2025-08-14_day19,MAMA,G140L,none,None,None,None
2025-08-22_day27,MAMA,G230L,none,None,None,None
