ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0944,0.6443,0.2927,0.7076,no,1551.86,yes
Al III,1862.790,0.2780,0.3955,0.6452,0.3454,0.7318,no,775.13,yes
Zn II,2026.137,0.5010,0.0000,0.0357,0.0000,0.0357,no,1519.40,yes
Cr II,2056.254,0.1050,0.0000,0.2623,0.0423,0.2656,no,323.17,yes
Cr II,2062.234,0.0780,0.8990,0.5755,0.1544,0.5959,no,240.77,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,759.50,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,157.72,yes
Fe II,2249.877,0.0018,2.9593,1.9149,1.9478,2.7314,no,6.13,yes
Fe II,2260.780,0.0024,0.0000,0.4196,0.3689,0.5587,no,8.26,yes
Fe II,2344.214,0.1140,1.5763,0.3724,0.3342,0.5003,yes,400.01,yes
Fe II,2374.461,0.0313,0.3547,0.4759,0.2944,0.5596,no,111.24,yes
Fe II,2382.765,0.3200,2.1331,0.7166,0.4918,0.8691,yes,1141.29,yes
Mn II,2576.877,0.3610,0.0237,0.2673,0.3116,0.4105,no,1392.40,yes
Fe II,2586.650,0.0691,2.8384,0.4669,0.5170,0.6967,yes,267.53,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,1087.37,yes
Fe II,2600.173,0.2390,3.0972,0.4743,0.2980,0.5602,yes,930.17,yes
Mn II,2606.462,0.1980,1.0277,0.5495,0.3011,0.6265,no,772.47,yes
Mg II,2796.352,0.6150,1.6446,0.1758,0.1719,0.2459,yes,74.03,yes
Mg II,2803.531,0.3060,3.0984,0.1661,0.3031,0.3456,yes,36.93,yes
Mg I,2852.964,1.8300,0.6184,0.1630,0.2164,0.2709,yes,0.81,no
