ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.3777,0.2452,0.1914,0.3111,no,14517320.46,yes
Al III,1862.790,0.2780,3.4738,0.2123,0.1615,0.2667,yes,7251134.00,yes
Zn II,2026.137,0.5010,0.4955,0.0780,0.3828,0.3906,yes,1757.12,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,1447.15,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,1078.15,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,878.33,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,706.29,yes
Fe II,2249.877,0.0018,0.2787,0.0408,0.1215,0.1282,yes,27.46,yes
Fe II,2260.780,0.0024,0.2182,0.0366,0.1230,0.1283,yes,36.97,yes
Fe II,2344.214,0.1140,0.5308,0.0275,0.0551,0.0616,yes,1791.23,yes
Fe II,2374.461,0.0313,0.4068,0.0300,0.0964,0.1010,yes,498.15,yes
Fe II,2382.765,0.3200,0.4621,0.0258,0.0836,0.0875,yes,5110.69,yes
Mn II,2576.877,0.3610,0.0061,0.0124,0.0182,0.0220,no,6235.19,yes
Fe II,2586.650,0.0691,0.8162,0.0208,0.0336,0.0395,yes,1198.02,yes
Mn II,2594.499,0.2800,0.0000,0.0051,0.0071,0.0088,no,4869.23,yes
Fe II,2600.173,0.2390,0.4695,0.0206,0.0334,0.0392,yes,4165.32,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,3459.12,yes
Mg II,2796.352,0.6150,0.3096,0.1034,0.0486,0.1142,yes,24.77,yes
Mg II,2803.531,0.3060,0.5757,0.1212,0.2859,0.3105,yes,12.36,yes
Mg I,2852.964,1.8300,0.1978,0.0193,0.0663,0.0691,yes,1.39,no
