ion,logN,logN_err,n_lines,limit
Al III,20.083,0.055,1,>
Fe II,16.764,0.019,7,>
Mg I,12.363,0.313,1,
Mg II,14.096,1.491,2,>
Zn II,16.176,3.032,1,>
