epoch,detector,grating,scale,slope,intercept,factor
2023-06-02_day14,CCD,G230LB,none,None,None,None
2023-06-02_day14,CCD,G430L,none,None,None,None
2023-06-02_day14,CCD,G750L,none,None,None,None
2023-06-07_day20,CCD,G230LB,none,None,None,None
2023-06-07_day20,CCD,G430L,none,None,None,None
2023-06-07_day20,CCD,G750L,none,None,None,None
2023-06-12_day25,CCD,G230LB,none,None,None,None
2023-06-12_day25,CCD,G430L,none,None,None,None
2023-06-12_day25,CCD,G750L,none,None,None,None
2023-07-24_day66,CCD,G230LB,none,None,None,None
2023-07-24_day66,CCD,G430L,none,None,None,None
2023-07-24_day66,CCD,G750L,none,None,None,None
2023-11-17_day183,MAMA,G140L,none,None,None,None
2024-03-21_day308,MAMA,G140L,none,None,None,None
2024-03-24_day311,MAMA,G140L,none,None,None,None
2024-03-24_day311,MAMA,G230L,none,None,None,None
2024-03-25_day312,MAMA,G140L,none,None,None,None
2024-03-27_day314,MAMA,G230L,none,None,None,None
2025-05-10_day723,MAMA,G230L,none,None,None,None
2025-05-11_day724,MAMA,G140L,none,None,None,None
2025-01-26_day619,MAMA,G230L,none,None,None,None
2025-01-26_day619,MAMA,G140L,none,None,None,None
2026-05-16_day1094,MAMA,G140L,none,None,None,None
2026-05-16_day1094,MAMA,G230L,none,None,None,None
2025-11-17_day913,CCD,G750M,none,None,None,None
2025-11-17_day913,MAMA,G230L,none,None,None,None
2025-11-17_day913,MAMA,G140L,none,None,None,None
2025-11-27_day924,CCD,G750M,none,None,None,None
2025-11-28_day924,MAMA,G230L,none,None,None,None
2025-11-28_day924,MAMA,G140L,none,None,None,None
