ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.1158,0.0760,0.1385,no,4.75,no
Al III,1862.790,0.2780,0.6996,0.3069,0.2617,0.4034,yes,2.37,no
Zn II,2026.137,0.5010,0.1984,0.2386,0.2119,0.3191,no,20.22,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,4.30,no
Cr II,2062.234,0.0780,0.0386,0.0731,0.0512,0.0893,no,3.20,no
Zn II,2062.664,0.2460,0.0249,0.0514,0.0151,0.0536,no,10.11,yes
Cr II,2066.161,0.0510,0.0727,0.0828,0.0370,0.0907,no,2.10,no
Fe II,2249.877,0.0018,0.0413,0.0587,0.0254,0.0639,no,0.08,no
Fe II,2260.780,0.0024,0.1034,0.0901,0.0279,0.0943,no,0.11,no
Fe II,2344.214,0.1140,1.4037,0.1357,0.0933,0.1647,yes,5.32,yes
Fe II,2374.461,0.0313,0.8104,0.1024,0.0761,0.1276,yes,1.48,no
Fe II,2382.765,0.3200,1.6620,0.0886,0.0799,0.1193,yes,15.19,yes
Mn II,2576.877,0.3610,0.0000,0.0297,0.0206,0.0361,no,18.53,yes
Fe II,2586.650,0.0691,0.9785,0.0699,0.0551,0.0890,yes,3.56,no
Mn II,2594.499,0.2800,0.1122,0.0780,0.0409,0.0881,no,14.47,yes
Fe II,2600.173,0.2390,1.3794,0.0815,0.0568,0.0993,yes,12.38,yes
Mn II,2606.462,0.1980,0.0143,0.0571,0.0315,0.0653,no,10.28,yes
Mg II,2796.352,0.6150,3.1643,0.0547,0.0335,0.0641,yes,3472.59,yes
Mg II,2803.531,0.3060,2.5453,0.0617,0.0313,0.0691,yes,1732.26,yes
Mg I,2852.964,1.8300,0.6436,0.0810,0.0680,0.1057,yes,1.00,no
