ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.7095,0.2623,0.2105,0.3363,yes,3.88,no
Al III,1862.790,0.2780,0.4326,0.3454,0.3654,0.5028,no,1.94,no
Zn II,2026.137,0.5010,0.0618,0.0587,0.0285,0.0653,no,21.72,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,4.62,no
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,3.44,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,10.86,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,2.25,no
Fe II,2249.877,0.0018,0.0757,0.0718,0.0363,0.0805,no,0.09,no
Fe II,2260.780,0.0024,0.1110,0.1447,0.0478,0.1524,no,0.12,no
Fe II,2344.214,0.1140,1.4036,0.0829,0.1116,0.1390,yes,5.72,yes
Fe II,2374.461,0.0313,0.7548,0.0467,0.0711,0.0851,yes,1.59,no
Fe II,2382.765,0.3200,1.6340,0.0526,0.0799,0.0957,yes,16.31,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,19.90,yes
Fe II,2586.650,0.0691,0.5540,0.0315,0.0539,0.0624,yes,3.82,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,15.54,yes
Fe II,2600.173,0.2390,1.0059,0.0354,0.0675,0.0762,yes,13.30,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,11.04,yes
Mg II,2796.352,0.6150,2.7444,0.0264,0.0502,0.0567,yes,39183.84,yes
Mg II,2803.531,0.3060,2.6376,0.0266,0.0552,0.0612,yes,19546.40,yes
Mg I,2852.964,1.8300,0.6723,0.0416,0.0713,0.0825,yes,1.40,no
