ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.8023,0.0233,0.8026,no,40.26,yes
Al III,1862.790,0.2780,0.2960,0.2572,0.0467,0.2614,no,20.11,yes
Zn II,2026.137,0.5010,0.0000,0.0332,0.0000,0.0332,no,39.42,yes
Cr II,2056.254,0.1050,0.2122,0.1617,0.0842,0.1823,no,8.38,yes
Cr II,2062.234,0.0780,0.3663,0.2082,0.1080,0.2346,no,6.25,yes
Zn II,2062.664,0.2460,0.0000,0.0087,0.0000,0.0087,no,19.70,yes
Cr II,2066.161,0.0510,0.0000,0.0395,0.0000,0.0395,no,4.09,no
Fe II,2249.877,0.0018,0.6470,0.2142,0.2345,0.3176,yes,0.16,no
Fe II,2260.780,0.0024,0.6121,0.1825,0.1987,0.2698,yes,0.21,no
Fe II,2344.214,0.1140,1.3423,0.0627,0.0482,0.0790,yes,10.38,yes
Fe II,2374.461,0.0313,0.7800,0.0648,0.0624,0.0900,yes,2.89,no
Fe II,2382.765,0.3200,1.7691,0.0593,0.0743,0.0950,yes,29.61,yes
Mn II,2576.877,0.3610,0.4671,0.0366,0.0806,0.0885,yes,1.04,no
Fe II,2586.650,0.0691,2.0945,0.0361,0.0787,0.0866,yes,6.94,yes
Mn II,2594.499,0.2800,0.9967,0.0392,0.0573,0.0694,yes,0.81,no
Fe II,2600.173,0.2390,2.7926,0.0395,0.0551,0.0678,yes,24.13,yes
Mn II,2606.462,0.1980,0.7109,0.0444,0.0798,0.0913,yes,0.58,no
Mg II,2796.352,0.6150,3.5600,0.0130,0.0273,0.0302,yes,157.93,yes
Mg II,2803.531,0.3060,2.9945,0.0137,0.0259,0.0293,yes,78.78,yes
Mg I,2852.964,1.8300,0.6782,0.0161,0.0289,0.0331,yes,0.65,no
