ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0622,0.3942,0.0567,0.3983,no,1.77,no
Al III,1862.790,0.2780,0.5582,0.2148,0.0405,0.2186,yes,0.88,no
Zn II,2026.137,0.5010,0.0156,0.0994,0.0656,0.1191,no,14.55,yes
Cr II,2056.254,0.1050,0.0000,0.0307,0.0014,0.0307,no,3.09,no
Cr II,2062.234,0.0780,0.0000,0.0167,0.0000,0.0167,no,2.30,no
Zn II,2062.664,0.2460,0.0397,0.0600,0.0428,0.0737,no,7.27,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,1.51,no
Fe II,2249.877,0.0018,0.2369,0.2071,0.2111,0.2957,no,0.06,no
Fe II,2260.780,0.0024,0.3267,0.2230,0.2879,0.3642,no,0.08,no
Fe II,2344.214,0.1140,1.2245,0.0584,0.0469,0.0749,yes,3.83,no
Fe II,2374.461,0.0313,0.8968,0.0526,0.0838,0.0989,yes,1.06,no
Fe II,2382.765,0.3200,1.8471,0.0491,0.0912,0.1036,yes,10.93,yes
Mn II,2576.877,0.3610,0.1725,0.0336,0.0495,0.0598,yes,0.45,no
Fe II,2586.650,0.0691,1.4608,0.0320,0.0541,0.0629,yes,2.56,no
Mn II,2594.499,0.2800,0.4975,0.0362,0.0449,0.0577,yes,0.35,no
Fe II,2600.173,0.2390,2.2736,0.0327,0.0481,0.0581,yes,8.90,yes
Mn II,2606.462,0.1980,0.4766,0.0380,0.0581,0.0695,yes,0.25,no
Mg II,2796.352,0.6150,3.4274,0.0143,0.0253,0.0290,yes,118.28,yes
Mg II,2803.531,0.3060,2.9457,0.0120,0.0246,0.0273,yes,59.00,yes
Mg I,2852.964,1.8300,0.7269,0.0178,0.0473,0.0506,yes,0.71,no
