ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.0999,0.8760,0.6768,1.1070,no,23.18,yes
Al III,1862.790,0.2780,0.0000,0.2861,0.2123,0.3562,no,11.58,yes
Zn II,2026.137,0.5010,0.0928,0.2012,0.0793,0.2163,no,22.69,yes
Cr II,2056.254,0.1050,0.1659,0.2247,0.0541,0.2312,no,4.83,no
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,3.60,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,11.34,yes
Cr II,2066.161,0.0510,0.0000,0.1877,0.0000,0.1877,no,2.36,no
Fe II,2249.877,0.0018,0.0816,0.1675,0.2528,0.3032,no,0.09,no
Fe II,2260.780,0.0024,0.0697,0.1936,0.2961,0.3538,no,0.12,no
Fe II,2344.214,0.1140,1.2850,0.0859,0.0718,0.1119,yes,5.97,yes
Fe II,2374.461,0.0313,0.7490,0.0777,0.0473,0.0910,yes,1.66,no
Fe II,2382.765,0.3200,1.7942,0.0847,0.0539,0.1004,yes,17.05,yes
Mn II,2576.877,0.3610,0.4114,0.0588,0.0778,0.0975,yes,0.78,no
Fe II,2586.650,0.0691,2.0821,0.0538,0.0738,0.0913,yes,4.00,no
Mn II,2594.499,0.2800,0.8045,0.0466,0.0510,0.0690,yes,0.61,no
Fe II,2600.173,0.2390,2.6369,0.0511,0.0516,0.0726,yes,13.89,yes
Mn II,2606.462,0.1980,0.6546,0.0583,0.0617,0.0849,yes,0.43,no
Mg II,2796.352,0.6150,3.6068,0.0167,0.0351,0.0389,yes,85.56,yes
Mg II,2803.531,0.3060,3.0305,0.0136,0.0326,0.0353,yes,42.68,yes
Mg I,2852.964,1.8300,0.6636,0.0156,0.0158,0.0222,yes,0.58,no
