ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0844,0.0000,0.0844,no,33.22,yes
Al III,1862.790,0.2780,0.0000,0.0106,0.0000,0.0106,no,16.59,yes
Zn II,2026.137,0.5010,0.0000,0.0858,0.0150,0.0871,no,32.53,yes
Cr II,2056.254,0.1050,0.2711,0.3582,0.0550,0.3624,no,6.92,yes
Cr II,2062.234,0.0780,1.1367,0.6255,0.1515,0.6435,no,5.15,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,16.26,yes
Cr II,2066.161,0.0510,0.0000,0.2291,0.0000,0.2291,no,3.38,no
Fe II,2249.877,0.0018,0.0000,0.0456,0.0000,0.0456,no,0.13,no
Fe II,2260.780,0.0024,0.0000,0.0387,0.0000,0.0387,no,0.18,no
Fe II,2344.214,0.1140,1.1986,0.2060,0.1640,0.2633,yes,8.56,yes
Fe II,2374.461,0.0313,0.9214,0.1480,0.0784,0.1674,yes,2.38,no
Fe II,2382.765,0.3200,1.8272,0.1872,0.1012,0.2129,yes,24.43,yes
Mn II,2576.877,0.3610,0.4334,0.1659,0.0995,0.1934,yes,0.93,no
Fe II,2586.650,0.0691,2.3995,0.1446,0.0915,0.1711,yes,5.73,yes
Mn II,2594.499,0.2800,0.3583,0.2062,0.0394,0.2100,no,0.72,no
Fe II,2600.173,0.2390,2.6071,0.1662,0.0510,0.1739,yes,19.91,yes
Mn II,2606.462,0.1980,0.9081,0.1516,0.0763,0.1697,yes,0.51,no
Mg II,2796.352,0.6150,2.8635,0.0450,0.0601,0.0751,yes,66.96,yes
Mg II,2803.531,0.3060,3.2014,0.0530,0.0681,0.0863,yes,33.40,yes
Mg I,2852.964,1.8300,0.8106,0.0512,0.0906,0.1041,yes,0.79,no
