ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.1487,0.1709,0.0614,0.1816,no,18.86,yes
Al III,1862.790,0.2780,0.1185,0.1962,0.1319,0.2365,no,9.42,yes
Zn II,2026.137,0.5010,0.0976,0.1122,0.0385,0.1186,no,18.46,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,3.93,no
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,2.93,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,9.23,yes
Cr II,2066.161,0.0510,0.0000,0.0123,0.0000,0.0123,no,1.92,no
Fe II,2249.877,0.0018,0.0000,0.0225,0.0000,0.0225,no,0.07,no
Fe II,2260.780,0.0024,0.0000,0.0253,0.0000,0.0253,no,0.10,no
Fe II,2344.214,0.1140,1.5733,0.1187,0.0867,0.1470,yes,4.86,no
Fe II,2374.461,0.0313,0.7805,0.0882,0.0545,0.1037,yes,1.35,no
Fe II,2382.765,0.3200,1.6293,0.0925,0.0599,0.1102,yes,13.87,yes
Mn II,2576.877,0.3610,0.0076,0.0427,0.0412,0.0593,no,16.92,yes
Fe II,2586.650,0.0691,0.7853,0.0655,0.0897,0.1110,yes,3.25,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,13.21,yes
Fe II,2600.173,0.2390,1.4201,0.0774,0.0988,0.1255,yes,11.30,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,9.39,yes
Mg II,2796.352,0.6150,2.9710,0.0466,0.0388,0.0607,yes,1182.27,yes
Mg II,2803.531,0.3060,2.4700,0.0445,0.0368,0.0577,yes,589.76,yes
Mg I,2852.964,1.8300,0.5474,0.0596,0.0424,0.0731,yes,0.78,no
