ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0000,0.0000,0.0000,no,11.05,yes
Al III,1862.790,0.2780,0.4924,0.2969,0.2103,0.3639,no,5.52,yes
Zn II,2026.137,0.5010,0.1665,0.2175,0.1952,0.2923,no,10.82,yes
Cr II,2056.254,0.1050,0.0000,0.0383,0.0000,0.0383,no,2.30,no
Cr II,2062.234,0.0780,0.0483,0.0659,0.0290,0.0720,no,1.72,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,5.41,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,1.12,no
Fe II,2249.877,0.0018,0.0000,0.0000,0.0000,0.0000,no,0.04,no
Fe II,2260.780,0.0024,0.0975,0.1421,0.0880,0.1672,no,0.06,no
Fe II,2344.214,0.1140,1.1563,0.1607,0.0774,0.1784,yes,2.85,no
Fe II,2374.461,0.0313,0.7198,0.1055,0.0477,0.1158,yes,0.79,no
Fe II,2382.765,0.3200,1.7593,0.1232,0.0545,0.1347,yes,8.13,yes
Mn II,2576.877,0.3610,0.0529,0.0724,0.0616,0.0951,no,9.92,yes
Fe II,2586.650,0.0691,0.9616,0.0751,0.0723,0.1043,yes,1.91,no
Mn II,2594.499,0.2800,0.0000,0.0485,0.0232,0.0537,no,7.75,yes
Fe II,2600.173,0.2390,1.6804,0.1085,0.0770,0.1330,yes,6.63,yes
Mn II,2606.462,0.1980,0.0027,0.0593,0.0321,0.0674,no,5.50,yes
Mg II,2796.352,0.6150,2.6488,0.0550,0.0510,0.0750,yes,96.22,yes
Mg II,2803.531,0.3060,2.6180,0.0640,0.0544,0.0840,yes,48.00,yes
Mg I,2852.964,1.8300,0.7871,0.1045,0.1138,0.1545,yes,0.98,no
