ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0560,0.0000,0.0560,no,12.23,yes
Al III,1862.790,0.2780,0.3060,0.7200,0.3344,0.7939,no,6.11,yes
Zn II,2026.137,0.5010,0.0943,0.2162,0.0844,0.2321,no,11.98,yes
Cr II,2056.254,0.1050,0.7179,0.7165,0.3725,0.8075,no,2.55,no
Cr II,2062.234,0.0780,0.0000,0.1405,0.0000,0.1405,no,1.90,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,5.99,yes
Cr II,2066.161,0.0510,0.0000,0.3747,0.3647,0.5229,no,1.24,no
Fe II,2249.877,0.0018,0.0000,0.0609,0.0000,0.0609,no,0.05,no
Fe II,2260.780,0.0024,0.1216,0.3605,0.1994,0.4120,no,0.07,no
Fe II,2344.214,0.1140,1.3696,0.3182,0.1983,0.3749,yes,3.15,no
Fe II,2374.461,0.0313,0.8736,0.3289,0.1515,0.3622,yes,0.88,no
Fe II,2382.765,0.3200,2.4802,0.3113,0.2373,0.3914,yes,9.00,yes
Mn II,2576.877,0.3610,0.0000,0.1276,0.0653,0.1433,no,1.30,no
Fe II,2586.650,0.0691,1.5422,0.3820,0.2166,0.4392,yes,2.11,no
Mn II,2594.499,0.2800,0.9441,0.3302,0.0415,0.3328,yes,1.01,no
Fe II,2600.173,0.2390,1.9269,0.2902,0.1171,0.3129,yes,7.33,yes
Mn II,2606.462,0.1980,0.7352,0.3029,0.1230,0.3270,yes,0.72,no
Mg II,2796.352,0.6150,3.0193,0.0658,0.0956,0.1161,yes,30.42,yes
Mg II,2803.531,0.3060,2.8651,0.0729,0.0885,0.1147,yes,15.17,yes
Mg I,2852.964,1.8300,0.4931,0.0748,0.0515,0.0908,yes,0.40,no
