# ZTF21ACKXDOS letz01010 G160M FUV z=0.018  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1582.0656 1610.5427 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0776 1610.5550 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.0896 1610.5672 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1017 1610.5795 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1137 1610.5917 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1257 1610.6040 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1378 1610.6163 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1498 1610.6285 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1618 1610.6408 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1739 1610.6530 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1859 1610.6653 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.1979 1610.6775 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2100 1610.6898 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2220 1610.7020 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2341 1610.7143 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2461 1610.7265 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2581 1610.7388 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2702 1610.7510 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2822 1610.7633 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.2942 1610.7755 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3063 1610.7878 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3183 1610.8000 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3303 1610.8123 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3424 1610.8245 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3544 1610.8368 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3664 1610.8490 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3785 1610.8613 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.3905 1610.8735 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4025 1610.8858 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4146 1610.8980 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4266 1610.9103 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4387 1610.9225 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4507 1610.9348 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4627 1610.9471 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1582.4748 1610.9593 0.000000e+00 0.000000e+00 0.0000e+00 128 0
