epoch,detector,grating,scale,slope,intercept,factor
2014-01-26_day6,MAMA,G230L,none,None,None,None
2014-01-26_day6,CCD,G430L,none,None,None,None
2014-01-26_day6,CCD,G750L,none,None,None,None
2014-01-28_day7,MAMA,G230L,none,None,None,None
2014-01-28_day7,CCD,G430L,none,None,None,None
2014-01-28_day7,CCD,G750L,none,None,None,None
2014-01-30_day9,MAMA,G230L,none,None,None,None
2014-01-30_day10,CCD,G430L,none,None,None,None
2014-01-30_day10,CCD,G750L,none,None,None,None
2014-02-01_day12,MAMA,G230L,none,None,None,None
2014-02-01_day12,CCD,G430L,none,None,None,None
2014-02-01_day12,CCD,G750L,none,None,None,None
2014-02-04_day15,MAMA,G230L,none,None,None,None
2014-02-04_day15,CCD,G430L,none,None,None,None
2014-02-04_day15,CCD,G750L,none,None,None,None
2014-02-08_day18,MAMA,G230L,none,None,None,None
2014-02-08_day19,CCD,G430L,none,None,None,None
2014-02-08_day19,CCD,G750L,none,None,None,None
2014-02-10_day20,MAMA,G230L,none,None,None,None
2014-02-10_day20,CCD,G430L,none,None,None,None
2014-02-10_day20,CCD,G750L,none,None,None,None
2014-02-13_day23,MAMA,G230L,none,None,None,None
2014-02-13_day23,CCD,G430L,none,None,None,None
2014-02-13_day23,CCD,G750L,none,None,None,None
2014-02-16_day26,MAMA,G230L,none,None,None,None
2014-02-16_day26,CCD,G430L,none,None,None,None
2014-02-16_day26,CCD,G750L,none,None,None,None
2014-02-25_day36,MAMA,G230L,none,None,None,None
2014-02-26_day36,CCD,G430L,none,None,None,None
2014-02-26_day36,CCD,G750L,none,None,None,None
