ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.4863,1.3380,1.0332,1.6905,no,80.42,yes
Al III,1862.790,0.2780,0.8923,1.0744,0.4981,1.1842,no,40.17,yes
Zn II,2026.137,0.5010,2.8810,2.6881,2.1761,3.4585,no,78.74,yes
Cr II,2056.254,0.1050,0.8931,1.2032,0.4581,1.2874,no,16.75,yes
Cr II,2062.234,0.0780,0.5485,0.8710,0.7245,1.1329,no,12.48,yes
Zn II,2062.664,0.2460,0.0000,0.6344,0.0000,0.6344,no,39.36,yes
Cr II,2066.161,0.0510,1.1659,1.5281,0.6070,1.6442,no,8.17,yes
Fe II,2249.877,0.0018,0.7309,1.2365,0.7444,1.4433,no,0.32,no
Fe II,2260.780,0.0024,5.2772,2.7204,2.5106,3.7019,no,0.43,no
Fe II,2344.214,0.1140,1.7047,0.3312,0.3158,0.4576,yes,20.73,yes
Fe II,2374.461,0.0313,1.3077,0.3499,0.2135,0.4099,yes,5.76,yes
Fe II,2382.765,0.3200,1.9723,0.3427,0.1836,0.3888,yes,59.15,yes
Mn II,2576.877,0.3610,0.6151,0.4084,0.2069,0.4578,no,72.16,yes
Fe II,2586.650,0.0691,2.7262,0.6380,0.3145,0.7113,yes,13.86,yes
Mn II,2594.499,0.2800,0.7546,0.5386,0.0545,0.5414,no,56.35,yes
Fe II,2600.173,0.2390,2.4366,0.4140,0.2982,0.5102,yes,48.20,yes
Mn II,2606.462,0.1980,0.0000,0.2235,0.0000,0.2235,no,40.03,yes
Mg II,2796.352,0.6150,3.3551,0.1457,0.0864,0.1694,yes,403.28,yes
Mg II,2803.531,0.3060,2.6656,0.1522,0.0759,0.1700,yes,201.17,yes
Mg I,2852.964,1.8300,0.7844,0.2461,0.1659,0.2968,yes,1.00,no
