ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.3494,0.9565,0.3699,1.0256,no,174.43,yes
Al III,1862.790,0.2780,0.0000,0.9772,0.0663,0.9794,no,87.13,yes
Zn II,2026.137,0.5010,0.0000,0.0000,0.0000,0.0000,no,31.92,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0073,0.0073,no,36.33,yes
Cr II,2062.234,0.0780,0.0000,0.3989,0.0000,0.3989,no,27.06,yes
Zn II,2062.664,0.2460,1.5218,0.6866,0.4203,0.8050,yes,15.96,yes
Cr II,2066.161,0.0510,0.0000,0.0204,0.0474,0.0516,no,17.73,yes
Fe II,2249.877,0.0018,0.6455,0.1653,0.1769,0.2421,yes,0.69,no
Fe II,2260.780,0.0024,0.0000,0.0000,0.0000,0.0000,no,0.93,no
Fe II,2344.214,0.1140,2.0767,0.1006,0.2348,0.2554,yes,44.96,yes
Fe II,2374.461,0.0313,0.9451,0.1392,0.1623,0.2138,yes,12.50,yes
Fe II,2382.765,0.3200,2.9820,0.1502,0.1820,0.2360,yes,128.28,yes
Mn II,2576.877,0.3610,0.9695,0.1016,0.1069,0.1475,yes,1.41,no
Fe II,2586.650,0.0691,1.6069,0.1123,0.1044,0.1533,yes,30.07,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,1.10,no
Fe II,2600.173,0.2390,2.1631,0.1046,0.0934,0.1402,yes,104.55,yes
Mn II,2606.462,0.1980,0.5180,0.0963,0.0791,0.1246,yes,0.78,no
Mg II,2796.352,0.6150,2.3343,0.1020,0.4081,0.4207,yes,4.19,no
Mg II,2803.531,0.3060,0.8923,0.0731,0.2954,0.3043,yes,2.09,no
Mg I,2852.964,1.8300,1.4077,0.0859,0.2796,0.2925,yes,3.09,no
