ion,logN,logN_err,n_lines,limit
Fe II,15.840,0.446,6,
Mg I,13.386,0.235,1,
Mg II,14.000,0.252,2,
Mn II,13.794,0.105,2,
Zn II,15.111,2.032,1,>
