ion,logN,logN_err,n_lines,limit
Cr II,16.415,2.490,1,>
Fe II,15.344,0.000,3,
Mg I,12.610,0.134,1,
Mg II,14.119,0.072,2,
Mn II,14.169,0.130,3,
