ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,1.2784,0.0000,1.2784,no,37.79,yes
Al III,1862.790,0.2780,2.5590,2.3134,1.1253,2.5726,no,18.88,yes
Zn II,2026.137,0.5010,0.6844,0.6775,0.1987,0.7060,no,37.00,yes
Cr II,2056.254,0.1050,2.7937,1.2399,0.4863,1.3318,yes,92.65,yes
Cr II,2062.234,0.0780,0.7413,0.5940,0.6575,0.8861,no,69.03,yes
Zn II,2062.664,0.2460,0.0000,0.5907,0.0110,0.5908,no,18.50,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,45.22,yes
Fe II,2249.877,0.0018,0.8290,0.7169,0.3959,0.8189,no,0.15,no
Fe II,2260.780,0.0024,0.0000,0.0000,0.0000,0.0000,no,0.20,no
Fe II,2344.214,0.1140,0.3172,0.3389,0.1300,0.3630,no,9.74,yes
Fe II,2374.461,0.0313,1.0060,0.2525,0.1673,0.3029,yes,2.71,no
Fe II,2382.765,0.3200,0.5528,0.4385,0.2195,0.4904,no,27.79,yes
Mn II,2576.877,0.3610,1.5663,0.2573,0.1905,0.3201,yes,2.26,no
Fe II,2586.650,0.0691,2.8528,0.2487,0.1652,0.2986,yes,6.52,yes
Mn II,2594.499,0.2800,1.7185,0.3241,0.1437,0.3545,yes,1.77,no
Fe II,2600.173,0.2390,1.6021,0.3166,0.0497,0.3205,yes,22.65,yes
Mn II,2606.462,0.1980,1.0590,0.3095,0.2125,0.3754,yes,1.26,no
Mg II,2796.352,0.6150,1.8509,0.0925,0.1807,0.2030,yes,3.73,no
Mg II,2803.531,0.3060,1.7912,0.0879,0.1510,0.1748,yes,1.86,no
Mg I,2852.964,1.8300,0.4764,0.0714,0.0901,0.1150,yes,0.35,no
