ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,9.1477,5.1049,0.8770,5.1797,no,33.56,yes
Al III,1862.790,0.2780,0.5288,2.3176,0.9005,2.4865,no,16.76,yes
Zn II,2026.137,0.5010,3.8063,2.8784,1.4456,3.2210,no,32.86,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,yes,6.99,yes
Cr II,2062.234,0.0780,0.6139,0.8790,0.4320,0.9795,no,5.21,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,16.42,yes
Cr II,2066.161,0.0510,1.6368,1.5631,0.3505,1.6019,no,3.41,no
Fe II,2249.877,0.0018,3.6800,3.0499,0.7550,3.1420,no,0.13,no
Fe II,2260.780,0.0024,3.4911,3.0684,1.4078,3.3759,no,0.18,no
Fe II,2344.214,0.1140,3.2185,1.0113,1.0635,1.4675,yes,8.65,yes
Fe II,2374.461,0.0313,1.8695,0.6952,0.3799,0.7922,yes,2.41,no
Fe II,2382.765,0.3200,0.2015,0.4492,0.2655,0.5218,no,24.68,yes
Mn II,2576.877,0.3610,0.8372,0.3844,0.1991,0.4329,yes,0.68,no
Fe II,2586.650,0.0691,1.7525,0.6335,0.2897,0.6966,yes,5.79,yes
Mn II,2594.499,0.2800,0.0000,0.0755,0.0000,0.0755,no,0.53,no
Fe II,2600.173,0.2390,0.5905,0.4769,0.2105,0.5213,no,20.11,yes
Mn II,2606.462,0.1980,0.2619,0.4157,0.2407,0.4804,no,0.38,no
Mg II,2796.352,0.6150,1.8103,0.2185,0.1857,0.2868,yes,3.42,no
Mg II,2803.531,0.3060,2.0335,0.2426,0.1704,0.2964,yes,1.71,no
Mg I,2852.964,1.8300,0.6635,0.2100,0.1696,0.2700,yes,0.45,no
