ion,logN,logN_err,n_lines,limit
Al III,15.779,0.256,2,>
Fe II,15.468,0.108,7,
Mg I,12.879,0.217,1,
Mg II,17.338,0.681,2,>
Mn II,13.853,0.123,2,
Zn II,13.997,1.627,2,
