ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,5.7788,0.0785,0.5261,0.5319,yes,6654287.19,yes
Al III,1862.790,0.2780,1.6136,0.0741,0.2687,0.2787,yes,3323693.81,yes
Zn II,2026.137,0.5010,0.0000,0.0103,0.0274,0.0292,no,220.84,yes
Cr II,2056.254,0.1050,0.9815,0.0506,0.0540,0.0740,yes,217.86,yes
Cr II,2062.234,0.0780,2.4847,0.0643,0.1867,0.1975,yes,162.31,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,110.39,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,106.33,yes
Fe II,2249.877,0.0018,0.1430,0.0329,0.0856,0.0917,yes,0.89,no
Fe II,2260.780,0.0024,0.0748,0.0333,0.0758,0.0828,yes,1.20,no
Fe II,2344.214,0.1140,1.3454,0.0273,0.2738,0.2752,yes,58.14,yes
Fe II,2374.461,0.0313,1.5754,0.0236,0.1583,0.1601,yes,16.17,yes
Fe II,2382.765,0.3200,1.9015,0.0257,0.1712,0.1731,yes,165.88,yes
Mn II,2576.877,0.3610,0.6847,0.0308,0.2389,0.2409,yes,1.16,no
Fe II,2586.650,0.0691,1.3973,0.0418,0.0784,0.0888,yes,38.89,yes
Mn II,2594.499,0.2800,1.5843,0.0576,0.1376,0.1492,yes,0.91,no
Fe II,2600.173,0.2390,1.6680,0.0576,0.0541,0.0790,yes,135.20,yes
Mn II,2606.462,0.1980,0.1177,0.0395,0.1978,0.2017,yes,0.64,no
Mg II,2796.352,0.6150,5.5246,0.0375,0.5688,0.5701,yes,77.35,yes
Mg II,2803.531,0.3060,0.7619,0.0356,0.2658,0.2681,yes,38.59,yes
Mg I,2852.964,1.8300,0.7671,0.0250,0.1908,0.1924,yes,1.50,no
