epoch,detector,grating,scale,slope,intercept,factor
1999-11-07_day10,ECHELLE,E140M,none,None,None,None
1999-11-12_day15,ECHELLE,E230M,none,None,None,None
1999-11-12_day15,ECHELLE,E140M,none,None,None,None
1999-11-05_day8,CCD,G430L,none,None,None,None
1999-11-05_day8,MAMA,G140L,none,None,None,None
1999-11-05_day8,MAMA,G230L,none,None,None,None
2000-01-24_day87,CCD,G430L,none,None,None,None
2000-01-24_day87,MAMA,G140L,none,None,None,None
2000-01-24_day87,MAMA,G230L,none,None,None,None
