# TESS-SN le2ba4010 G160M FUV z=0.007522  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
FUVA 1574.7885 1586.6340 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8006 1586.6463 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8128 1586.6585 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8249 1586.6708 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8371 1586.6830 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8492 1586.6953 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8614 1586.7075 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8736 1586.7198 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8857 1586.7320 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.8979 1586.7443 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9100 1586.7565 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9222 1586.7688 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9343 1586.7810 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9465 1586.7933 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9587 1586.8055 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9708 1586.8177 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9830 1586.8300 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1574.9951 1586.8422 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0073 1586.8545 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0194 1586.8667 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0316 1586.8790 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0438 1586.8912 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0559 1586.9035 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0681 1586.9157 0.000000e+00 0.000000e+00 0.0000e+00 128 0
FUVA 1575.0802 1586.9280 0.000000e+00 0.000000e+00 0.0000e+00 128 0
