epoch,detector,grating,scale,slope,intercept,factor
2010-10-15_day4,CCD,G430L,none,None,None,None
2010-10-20_day9,CCD,G430L,none,None,None,None
2010-10-20_day9,CCD,G230LB,none,None,None,None
2010-10-26_day14,CCD,G430L,none,None,None,None
2010-10-26_day14,CCD,G230LB,none,None,None,None
2010-10-31_day20,CCD,G430L,none,None,None,None
