name,canonical,ra,dec,z,z_source,ebv,host_ebv,host_ebv_err,host_ebv_src,otype,host,instr,gratings,n_spec,n_merged,is_remnant,has_uv,classification,tns_name,tns_type,tns_z,tns_disc_date,tns_disc_mjd,flags
SN2013DY,SN 2013dy,334.57333,40.56932,0.004,ned,0.1535,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,32,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2013dy,SN Ia,0.0039,2013-07-10 00:00:00.000,56483.0,none
PSN07,SN 2015F,114.066,-69.50686,0.0049,simbad,0.2034,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,32,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2015F,SN Ia,,2015-03-09 00:00:00.000,57090.0,name_unresolved
TESS-SN,SN 2020fqv,189.13861,11.23168,0.007522,simbad,0.0323,0.52,0.01,Tinyanont+2022 (SN2020fqv; blackbody fit to day-4 STIS+optical),SN*,,COS;STIS,G130M;G160M;G230L;G230LB;G430L,30,1,False,True,STAR;SUPERNOVA,SN 2020fqv,SN IIb,0.007522,2020-03-31 08:06:55.002,58939.338,name_unresolved
SN2022HRS-HV,SN 2022hrs,190.89312,11.57667,0.0047,simbad,0.0263,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,28,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2022hrs,SN Ia,0.0047,2022-04-16 14:50:40.000,59685.619,none
PSNJ0338,SN 2011iv,54.71365,-35.59216,0.006494,simbad,0.0113,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,24,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2011iv,SN Ia,,2011-12-02 00:00:00.000,55897.0,name_unresolved
SN2009IP,SN 2009ip,335.78446,-28.94789,0.006,ned,0.0182,0.0,,Margutti+2014 ApJ 780 21 (MW-only adopted; no host),s*b,,COS;STIS,G130M;G140L;G160M;G230L;G230LB;G430L;G750L,24,1,False,True,EXT-STAR;SUPERNOVA,SN 2009ip,SN IIn,0.0059,2009-08-26 00:00:00.000,55069.0,none
SN2026AYT,,141.84746,-32.00858,0.0036,tns,0.1299,0.0,,none (MW-only),,,STIS,G140L;G230L;G430L,24,1,False,True,EXT-STAR;SUPERNOVA TYPE II,SN 2026ayt,SN II,0.0036,2026-01-20 21:47:13.920,61060.908,name_unresolved
ZTF21AAABWZX,SN 2020aekp,235.79745,17.8131,0.046,simbad,0.0325,0.0,,none (MW-only),SN*,,STIS,G140L;G230L,24,1,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA,SN 2020aekp,SN Ia-CSM,0.046,2020-12-27 21:44:38.400,59210.906,none
SN2002AP,SN 2002ap,24.09946,15.75367,0.002,ned,0.0716,0.008,0.002,Takada-Hidai+2002 PASJ 54 899 (Na I D at M74 velocity),SN*,,STIS,G140L;G230L;G230LB;G430L,23,1,False,True,EXT-STAR;SUPERNOVA TYPE II,SN 2002ap,SN Ic,,2002-01-29 00:00:00.000,52303.0,none
SN2021YJA,SN 2021yja,51.08823,-21.56562,0.005307,ned,0.0222,0.07,0.02,Vasylyev+2022 ApJ 934 134 (total 0.07); Hosseinzadeh+2022 (host 0.085),SN*,,STIS,G230LB;G430L;G750L,23,1,False,True,EXT-STAR;SUPERNOVA,SN 2021yja,SN IIP,0.0053,2021-09-08 13:12:00.000,59465.55,none
SN2022WSP,SN 2022wsp,345.01474,15.97851,0.007318,simbad,0.0562,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,22,1,False,True,EXT-STAR;SUPERNOVA,SN 2022wsp,SN II,0.007318,2022-10-02 23:59:19.392,59855.0,none
PSN2037+6607,SN 2015G,309.35667,66.11995,0.0,none,0.3698,0.06,,Vinko&Csak / Konyves-Toth+2026 A&A (SN2015G in NGC 6951; host from high-res spectra; total 0.38 - MW 0.32),SN*,,STIS,G230L;G430L;G750L,22,1,False,True,EXT-STAR;SUPERNOVA,SN 2015G,SN Ibn,,2015-03-23 00:00:00.000,57104.0,"name_unresolved,no_z"
SN1993J-STIS,SN 1993J,148.85426,69.0205,0.000113,ned,0.0802,0.11,0.09,Richardson+2006 AJ 131 2233 / Richmond+1994 (Na I D + color; total 0.19 - MW 0.069),SN*,,COS;STIS,G140L;G230L,22,1,False,True,STAR;SUPERNOVA TYPE II,SN 1993J,SN IIb,,1993-03-28 00:00:00.000,49074.0,none
SN1999EM,SN 1999em,70.36275,-2.86269,0.002,ned,0.0403,0.01,,Elmhamdi+2003 MNRAS 338 939 / Leonard+2002 (Na I D EW; host small),SN*,,STIS,E140M;E230M;G140L;G230L;G430L,20,1,False,True,EXT-STAR;SUPERNOVA TYPE II,SN 1999em,SN II,,1999-10-29 00:00:00.000,51480.0,none
SN2017ERP,SN 2017erp,227.31176,-11.33418,0.006,ned,0.1076,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,18,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2017erp,SN Ia,0.006174,2017-06-13 15:01:28.000,57917.626,none
SN2021FXY,SN 2021fxy,198.2565,-19.51253,0.009,ned,0.095,0.0,,none (MW-only),SN*,,STIS,G230L;G430L,18,1,False,True,EXT-STAR;SUPERNOVA TYPE IA,SN 2021fxy,SN Ia,0.0094,2021-03-17 17:23:37.000,59290.725,none
SN2025TIS,IC 2007,58.84491,-28.15908,0.0050934863682419,simbad,0.0111,0.0,,none (MW-only),EmG,,STIS,G140L;G230L;G430L,17,1,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II,SN 2025tis,SN II,0.005,2025-08-07 07:55:42.240,60894.33,name_unresolved
SN2010AL,SN 2010al,123.56629,18.43839,0.017,ned,0.0468,0.017,,Pastorello+2015 MNRAS 449 1921 (Ibn; color; small host),SN*,,COS;STIS,G140L;G230LB;G430L;G750L,14,1,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II,SN 2010al,SN I,0.0172,2010-03-13 00:00:00.000,55268.0,none
AT2022ACKO,SN 2022acko,49.91237,-19.39524,0.0053,simbad,0.0302,0.03,,Bostroem+2023 ApJL 953 L18 (SED; MW 0.026 + host 0.03; total 0.05),SN*,,STIS,G140L;G230L,13,1,False,True,EXT-STAR;SUPERNOVA TYPE II,SN 2022acko,SN II,0.005264,2022-12-06 03:52:50.880,59919.162,name_unresolved
SN2013DH,SN 2013dh,232.50454,12.98694,0.013,ned,0.0384,0.0,,none (MW-only),SN*,,STIS,G230L;G430L;G750L,12,1,False,True,STAR;SUPERNOVA TYPE IA,SN 2013dh,SN Ia,,2013-06-12 00:00:00.000,56455.0,none
