ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.6276,0.4111,0.1585,0.4406,no,423.50,yes
Al III,1862.790,0.2780,0.0000,0.0347,0.0000,0.0347,no,211.53,yes
Zn II,2026.137,0.5010,0.0000,0.1887,0.3681,0.4136,no,414.64,yes
Cr II,2056.254,0.1050,0.4080,0.2590,0.1355,0.2923,no,88.19,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,65.70,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,207.27,yes
Cr II,2066.161,0.0510,0.5799,0.3227,0.1189,0.3439,no,43.04,yes
Fe II,2249.877,0.0018,0.9468,0.4091,0.3138,0.5155,yes,1.67,no
Fe II,2260.780,0.0024,1.8741,0.8695,1.0296,1.3477,yes,2.25,no
Fe II,2344.214,0.1140,3.3123,0.2707,0.9417,0.9798,yes,109.16,yes
Fe II,2374.461,0.0313,1.6905,0.4488,0.5813,0.7344,yes,30.36,yes
Fe II,2382.765,0.3200,1.4057,0.5242,0.9190,1.0580,yes,311.46,yes
Mn II,2576.877,0.3610,0.0000,0.4771,0.6968,0.8445,no,379.99,yes
Fe II,2586.650,0.0691,0.0000,0.0000,0.0000,0.0000,no,73.01,yes
Mn II,2594.499,0.2800,0.0000,0.0100,0.0000,0.0100,no,296.74,yes
Fe II,2600.173,0.2390,0.0152,0.3262,0.3849,0.5045,no,253.84,yes
Mn II,2606.462,0.1980,0.0156,0.1799,0.2745,0.3282,no,210.81,yes
Mg II,2796.352,0.6150,1.1295,0.5981,0.6288,0.8678,no,2.96,no
Mg II,2803.531,0.3060,1.3254,0.4736,0.5284,0.7096,yes,1.48,no
Mg I,2852.964,1.8300,0.0000,0.1120,0.0252,0.1148,no,2132.62,yes
