epoch,detector,grating,scale,slope,intercept,factor
2015-03-16_day7,MAMA,G230L,none,None,None,None
2015-03-16_day7,CCD,G430L,none,None,None,None
2015-03-16_day7,CCD,G750L,none,None,None,None
2015-03-17_day9,MAMA,G230L,none,None,None,None
2015-03-17_day9,CCD,G430L,none,None,None,None
2015-03-17_day9,CCD,G750L,none,None,None,None
2015-03-19_day11,MAMA,G230L,none,None,None,None
2015-03-19_day11,CCD,G430L,none,None,None,None
2015-03-19_day11,CCD,G750L,none,None,None,None
2015-03-22_day14,MAMA,G230L,none,None,None,None
2015-03-22_day14,CCD,G430L,none,None,None,None
2015-03-22_day14,CCD,G750L,none,None,None,None
2015-03-26_day17,MAMA,G230L,none,None,None,None
2015-03-26_day17,CCD,G430L,none,None,None,None
2015-03-26_day17,CCD,G750L,none,None,None,None
2015-03-27_day19,MAMA,G230L,none,None,None,None
2015-03-27_day19,CCD,G430L,none,None,None,None
2015-03-27_day19,CCD,G750L,none,None,None,None
2015-03-30_day22,MAMA,G230L,none,None,None,None
2015-03-30_day22,CCD,G430L,none,None,None,None
2015-03-30_day22,CCD,G750L,none,None,None,None
2015-04-02_day25,MAMA,G230L,none,None,None,None
2015-04-02_day25,CCD,G430L,none,None,None,None
2015-04-02_day25,CCD,G750L,none,None,None,None
2015-04-05_day28,MAMA,G230L,none,None,None,None
2015-04-05_day28,CCD,G430L,none,None,None,None
2015-04-05_day28,CCD,G750L,none,None,None,None
2015-04-12_day35,MAMA,G230L,none,None,None,None
2015-04-12_day35,CCD,G430L,none,None,None,None
2015-04-12_day35,CCD,G750L,none,None,None,None
