# SN1993J-STIS lbq908020 G230L NUV z=0.000113  cos default calcos x1dsum
# segment rest_wvl obs_wvl flux error gross dq mask
NUVA 2081.2907 2081.5259 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2081.6814 2081.9167 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.0722 2082.3075 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.4630 2082.6983 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2082.8537 2083.0891 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2083.2445 2083.4799 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2083.6353 2083.8707 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.0261 2084.2615 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.4168 2084.6524 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2084.8076 2085.0432 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.1984 2085.4340 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.5891 2085.8248 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2085.9799 2086.2156 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2086.3707 2086.6064 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2086.7614 2086.9972 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2087.1522 2087.3880 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2087.5430 2087.7789 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2087.9337 2088.1697 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2088.3245 2088.5605 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2088.7153 2088.9513 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2089.1060 2089.3421 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2089.4968 2089.7329 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2089.8876 2090.1237 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2090.2783 2090.5145 0.000000e+00 0.000000e+00 0.0000e+00 128 0
NUVA 2090.6691 2090.9054 0.000000e+00 0.000000e+00 0.0000e+00 0 0
NUVA 2091.0599 2091.2962 -1.952226e-16 1.346758e-16 3.2237e-02 0 0
NUVA 2091.4506 2091.6870 8.090964e-17 1.447456e-16 3.9783e-02 0 0
NUVA 2091.8414 2092.0778 9.475674e-17 1.308171e-16 4.0324e-02 0 0
NUVA 2092.2322 2092.4686 -1.237572e-16 1.392744e-16 3.4431e-02 0 0
NUVA 2092.6229 2092.8594 -7.299050e-17 1.249529e-16 3.5628e-02 0 0
NUVA 2093.0137 2093.2502 -2.194502e-16 1.311228e-16 3.1823e-02 0 0
NUVA 2093.4045 2093.6410 1.255225e-17 1.288480e-16 3.8107e-02 0 0
NUVA 2093.7952 2094.0318 1.862617e-16 1.427843e-16 4.2802e-02 0 0
NUVA 2094.1860 2094.4227 1.331417e-16 1.434090e-16 4.1407e-02 0 0
NUVA 2094.5768 2094.8135 1.218120e-16 1.385306e-16 4.1192e-02 0 0
NUVA 2094.9676 2095.2043 1.231499e-16 1.464724e-16 4.1192e-02 0 0
NUVA 2095.3583 2095.5951 -1.433972e-17 1.366497e-16 3.7441e-02 0 0
NUVA 2095.7491 2095.9859 -6.621115e-18 1.371976e-16 3.7546e-02 0 0
NUVA 2096.1399 2096.3767 1.342742e-16 1.401883e-16 4.1348e-02 0 0
NUVA 2096.5306 2096.7675 1.006683e-16 1.381611e-16 4.0458e-02 0 0
NUVA 2096.9214 2097.1583 1.268250e-16 1.393392e-16 4.1095e-02 0 0
NUVA 2097.3122 2097.5492 6.194300e-17 1.340954e-16 3.9330e-02 0 0
NUVA 2097.7029 2097.9400 3.508318e-17 1.347950e-16 3.8572e-02 0 0
NUVA 2098.0937 2098.3308 3.802307e-18 1.356033e-16 3.7712e-02 0 0
NUVA 2098.4845 2098.7216 -1.833796e-16 1.269357e-16 3.2574e-02 0 0
NUVA 2098.8752 2099.1124 1.320489e-17 1.329287e-16 3.8030e-02 0 0
NUVA 2099.2660 2099.5032 1.323879e-17 1.347049e-16 3.8012e-02 0 0
NUVA 2099.6568 2099.8940 6.740645e-17 1.350288e-16 3.9494e-02 0 0
NUVA 2100.0475 2100.2848 3.684614e-17 1.348296e-16 3.8644e-02 0 0
NUVA 2100.4383 2100.6757 -2.435569e-17 1.278069e-16 3.6921e-02 0 0
NUVA 2100.8291 2101.0665 2.262782e-17 1.363163e-16 3.8287e-02 0 0
NUVA 2101.2198 2101.4573 -2.508401e-17 1.320723e-16 3.6925e-02 0 0
NUVA 2101.6106 2101.8481 2.249371e-18 1.294711e-16 3.7504e-02 0 0
NUVA 2102.0014 2102.2389 -3.305682e-17 1.327818e-16 3.6564e-02 0 0
NUVA 2102.3921 2102.6297 -3.019021e-17 1.312701e-16 3.6678e-02 0 0
NUVA 2102.7829 2103.0205 1.997036e-17 1.261725e-16 3.8030e-02 0 0
NUVA 2103.1737 2103.4113 3.773322e-17 1.366925e-16 3.8467e-02 0 0
NUVA 2103.5644 2103.8022 4.228055e-17 1.350417e-16 3.8505e-02 0 0
NUVA 2103.9552 2104.1930 -8.862316e-17 1.269206e-16 3.4845e-02 0 0
NUVA 2104.3460 2104.5838 -7.763514e-17 1.265590e-16 3.5110e-02 0 0
NUVA 2104.7368 2104.9746 -6.505491e-18 1.231168e-16 3.7313e-02 0 0
NUVA 2105.1275 2105.3654 8.137530e-17 1.436480e-16 3.9672e-02 0 0
NUVA 2105.5183 2105.7562 -3.943921e-18 1.320444e-16 3.7384e-02 0 0
NUVA 2105.9091 2106.1470 -5.815734e-17 1.329788e-16 3.5976e-02 0 0
NUVA 2106.2998 2106.5378 -4.401942e-17 1.253564e-16 3.6341e-02 0 0
NUVA 2106.6906 2106.9286 1.336266e-16 1.380755e-16 4.1322e-02 0 0
NUVA 2107.0814 2107.3195 -4.126619e-17 1.240768e-16 3.6361e-02 0 0
NUVA 2107.4721 2107.7103 1.480405e-16 1.404049e-16 4.1688e-02 4 0
NUVA 2107.8629 2108.1011 -1.497808e-16 1.267772e-16 3.3362e-02 4 0
NUVA 2108.2537 2108.4919 4.479756e-17 1.256245e-16 3.8694e-02 4 0
NUVA 2108.6444 2108.8827 -2.812500e-17 9.382733e-17 3.5713e-02 4 0
NUVA 2109.0352 2109.2735 7.157748e-17 9.512361e-17 3.8317e-02 4 0
NUVA 2109.4260 2109.6643 -3.790371e-17 8.558213e-17 3.5211e-02 4 0
NUVA 2109.8167 2110.0551 7.012923e-18 9.262356e-17 3.6537e-02 4 0
NUVA 2110.2075 2110.4460 2.780919e-17 8.920834e-17 3.7096e-02 4 0
NUVA 2110.5983 2110.8368 3.874021e-18 9.020401e-17 3.6550e-02 4 0
NUVA 2110.9890 2111.2276 7.794959e-17 8.980344e-17 3.8633e-02 4 0
NUVA 2111.3798 2111.6184 1.062812e-16 9.224670e-17 3.9407e-02 4 0
NUVA 2111.7706 2112.0092 6.459933e-17 9.164883e-17 3.8159e-02 4 0
NUVA 2112.1613 2112.4000 5.028514e-17 8.949199e-17 3.7731e-02 4 0
NUVA 2112.5521 2112.7908 1.948834e-16 9.516859e-17 4.1900e-02 4 0
NUVA 2112.9429 2113.1816 2.785908e-17 9.060762e-17 3.7209e-02 4 0
NUVA 2113.3336 2113.5725 5.318398e-17 9.097437e-17 3.7989e-02 4 0
NUVA 2113.7244 2113.9633 1.457373e-17 9.180394e-17 3.6898e-02 4 0
NUVA 2114.1152 2114.3541 -2.765560e-17 8.651534e-17 3.5671e-02 4 0
NUVA 2114.5060 2114.7449 4.277627e-17 8.927150e-17 3.7586e-02 4 0
NUVA 2114.8967 2115.1357 -3.034658e-17 8.847096e-17 3.5566e-02 4 0
NUVA 2115.2875 2115.5265 1.360279e-16 9.085187e-17 4.0348e-02 4 0
NUVA 2115.6783 2115.9173 -4.456221e-18 8.868275e-17 3.6401e-02 4 0
NUVA 2116.0690 2116.3081 7.831866e-17 9.152180e-17 3.8765e-02 4 0
NUVA 2116.4598 2116.6990 8.612884e-17 9.187207e-17 3.9042e-02 4 0
NUVA 2116.8506 2117.0898 4.012224e-17 8.819015e-17 3.7811e-02 4 0
NUVA 2117.2413 2117.4806 -4.696150e-17 8.906911e-17 3.5381e-02 4 0
NUVA 2117.6321 2117.8714 -5.913482e-17 8.490770e-17 3.4946e-02 4 0
NUVA 2118.0229 2118.2622 1.955720e-17 8.868363e-17 3.7204e-02 4 0
NUVA 2118.4136 2118.6530 6.694264e-17 8.841925e-17 3.8653e-02 4 0
NUVA 2118.8044 2119.0438 -4.894431e-17 8.668570e-17 3.5301e-02 4 0
NUVA 2119.1952 2119.4346 -1.354041e-16 8.253095e-17 3.2822e-02 4 0
NUVA 2119.5859 2119.8254 -3.161471e-18 8.880084e-17 3.6672e-02 4 0
NUVA 2119.9767 2120.2163 -3.754555e-17 8.835393e-17 3.5658e-02 4 0
NUVA 2120.3675 2120.6071 2.872727e-17 8.800030e-17 3.7546e-02 4 0
NUVA 2120.7582 2120.9979 -2.052181e-17 8.745769e-17 3.6101e-02 4 0
NUVA 2121.1490 2121.3887 -2.417864e-17 8.803391e-17 3.5950e-02 4 0
NUVA 2121.5398 2121.7795 -6.506737e-17 8.502040e-17 3.4889e-02 4 0
NUVA 2121.9305 2122.1703 2.294513e-17 8.927455e-17 3.7400e-02 4 0
NUVA 2122.3213 2122.5611 -3.091667e-17 8.491649e-17 3.5859e-02 4 0
NUVA 2122.7121 2122.9519 -2.131202e-17 8.825216e-17 3.6141e-02 4 0
NUVA 2123.1028 2123.3428 -2.456513e-17 8.797529e-17 3.6121e-02 4 0
NUVA 2123.4936 2123.7336 -1.336116e-16 8.565983e-17 3.3064e-02 4 0
NUVA 2123.8844 2124.1244 7.034584e-17 8.821622e-17 3.8873e-02 4 0
NUVA 2124.2752 2124.5152 -4.867479e-17 8.690626e-17 3.5489e-02 4 0
NUVA 2124.6659 2124.9060 6.727407e-17 8.886321e-17 3.8770e-02 4 0
NUVA 2125.0567 2125.2968 2.714007e-17 8.900403e-17 3.7585e-02 4 0
NUVA 2125.4475 2125.6876 1.006592e-16 9.178106e-17 3.9661e-02 4 0
NUVA 2125.8382 2126.0784 -5.735609e-17 8.454649e-17 3.5115e-02 4 0
NUVA 2126.2290 2126.4693 -1.138732e-16 8.317946e-17 3.3458e-02 4 0
NUVA 2126.6198 2126.8601 -1.587007e-16 8.448806e-17 3.2201e-02 4 0
NUVA 2127.0105 2127.2509 -2.581896e-18 8.659029e-17 3.6620e-02 4 0
NUVA 2127.4013 2127.6417 3.077636e-17 8.987438e-17 3.7594e-02 4 0
NUVA 2127.7921 2128.0325 -5.750196e-18 8.722112e-17 3.6554e-02 4 0
NUVA 2128.1828 2128.4233 -4.053093e-17 8.614099e-17 3.5565e-02 4 0
NUVA 2128.5736 2128.8141 -1.077420e-17 8.701035e-17 3.6426e-02 4 0
NUVA 2128.9644 2129.2049 2.047645e-17 8.837307e-17 3.7339e-02 4 0
NUVA 2129.3551 2129.5958 -1.214724e-17 8.527563e-17 3.6463e-02 4 0
