epoch,detector,grating,scale,slope,intercept,factor
1998-03-16_day14,CCD,G430L,none,None,None,None
1998-03-16_day14,MAMA,G140L,none,None,None,None
1998-03-16_day14,MAMA,G230L,none,None,None,None
1998-03-30_day29,CCD,G430L,none,None,None,None
1998-03-30_day29,MAMA,G140L,none,None,None,None
1998-03-30_day29,MAMA,G230L,none,None,None,None
1998-10-26_day238,CCD,G430L,none,None,None,None
1998-10-26_day238,MAMA,G140L,none,None,None,None
1998-10-26_day238,MAMA,G230L,none,None,None,None
1998-05-13_day73,CCD,G430L,none,None,None,None
1998-05-13_day73,MAMA,G140L,none,None,None,None
1998-05-13_day73,MAMA,G230L,none,None,None,None
1998-04-11_day40,ECHELLE,E230M,none,None,None,None
1998-04-04_day34,ECHELLE,E230M,none,None,None,None
1998-04-12_day41,ECHELLE,E230M,none,None,None,None
1999-06-30_day485,MAMA,G140L,none,None,None,None
1999-07-03_day488,MAMA,G230L,none,None,None,None
