ion,logN,logN_err,n_lines,limit
Al III,17.773,2.754,1,>
Cr II,14.803,0.367,1,
Fe II,15.779,0.547,6,
Mg I,12.805,0.277,1,
Mg II,15.596,0.739,2,>
Mn II,13.335,1.619,1,
