ion,logN,logN_err,n_lines,limit
Cr II,15.427,0.920,1,>
Fe II,16.097,0.313,7,
Mg I,12.632,0.229,1,
Mg II,18.314,0.553,2,>
Mn II,13.530,1.361,1,
Zn II,14.027,1.576,1,>
