ion,logN,logN_err,n_lines,limit
Fe II,16.007,1.397,6,
Mg I,12.419,0.335,1,
Mg II,16.253,0.878,2,>
Mn II,13.479,1.094,1,
Zn II,17.519,1.667,1,>
