ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.9849,0.6242,0.4593,0.7750,no,654.38,yes
Al III,1862.790,0.2780,0.9527,0.4851,0.2275,0.5358,no,326.85,yes
Zn II,2026.137,0.5010,0.5795,0.2283,0.2273,0.3222,yes,5.45,yes
Cr II,2056.254,0.1050,0.7984,0.2037,0.1244,0.2387,yes,29.15,yes
Cr II,2062.234,0.0780,0.3440,0.2195,0.0216,0.2205,no,21.72,yes
Zn II,2062.664,0.2460,0.0000,0.0221,0.0000,0.0221,no,2.72,no
Cr II,2066.161,0.0510,0.2073,0.1573,0.0736,0.1736,no,14.23,yes
Fe II,2249.877,0.0018,0.5692,0.1082,0.1715,0.2028,yes,2.59,no
Fe II,2260.780,0.0024,0.5372,0.1039,0.1726,0.2015,yes,3.48,no
Fe II,2344.214,0.1140,1.4529,0.0764,0.3857,0.3931,yes,168.67,yes
Fe II,2374.461,0.0313,0.2474,0.0570,0.0942,0.1101,yes,46.91,yes
Fe II,2382.765,0.3200,1.3077,0.0710,0.1256,0.1442,yes,481.25,yes
Mn II,2576.877,0.3610,0.4429,0.1005,0.4266,0.4383,yes,1.59,no
Fe II,2586.650,0.0691,0.6159,0.0653,0.2470,0.2555,yes,112.81,yes
Mn II,2594.499,0.2800,0.0030,0.0330,0.0015,0.0330,no,1.24,no
Fe II,2600.173,0.2390,1.1219,0.0707,0.3708,0.3775,yes,392.23,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,0.88,no
Mg II,2796.352,0.6150,2.8232,0.0485,0.1834,0.1897,yes,179141.83,yes
Mg II,2803.531,0.3060,1.3620,0.0358,0.1164,0.1218,yes,89362.81,yes
Mg I,2852.964,1.8300,0.3949,0.0419,0.1122,0.1198,yes,1.13,no
