ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.2547,0.4885,0.3081,0.5776,yes,29914.32,yes
Al III,1862.790,0.2780,0.0637,0.2399,0.1262,0.2710,no,14941.65,yes
Zn II,2026.137,0.5010,0.0000,0.0000,0.0000,0.0000,no,296.51,yes
Cr II,2056.254,0.1050,0.1742,0.1461,0.0918,0.1725,no,6.67,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,4.97,no
Zn II,2062.664,0.2460,0.1398,0.0991,0.0619,0.1168,no,148.22,yes
Cr II,2066.161,0.0510,0.5210,0.1215,0.0924,0.1527,yes,3.26,no
Fe II,2249.877,0.0018,0.0106,0.0674,0.0777,0.1028,no,1.20,no
Fe II,2260.780,0.0024,0.4709,0.1213,0.1791,0.2163,yes,1.61,no
Fe II,2344.214,0.1140,1.3322,0.0878,0.3088,0.3210,yes,78.06,yes
Fe II,2374.461,0.0313,0.2426,0.0710,0.1508,0.1667,yes,21.71,yes
Fe II,2382.765,0.3200,1.3396,0.0807,0.1821,0.1992,yes,222.72,yes
Mn II,2576.877,0.3610,0.3347,0.1210,0.4228,0.4398,yes,0.98,no
Fe II,2586.650,0.0691,0.4907,0.0744,0.2384,0.2497,yes,52.21,yes
Mn II,2594.499,0.2800,0.0000,0.0008,0.0000,0.0008,no,0.76,no
Fe II,2600.173,0.2390,0.9444,0.0910,0.3789,0.3897,yes,181.52,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,0.54,no
Mg II,2796.352,0.6150,3.2479,0.0596,0.1645,0.1749,yes,330.09,yes
Mg II,2803.531,0.3060,0.6646,0.0622,0.1491,0.1615,yes,164.66,yes
Mg I,2852.964,1.8300,0.5144,0.0555,0.1530,0.1627,yes,1.62,no
