ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.0968,0.6049,0.8481,1.0417,no,602.22,yes
Al III,1862.790,0.2780,0.3983,0.4433,0.1149,0.4580,no,300.80,yes
Zn II,2026.137,0.5010,1.1412,0.2613,0.1617,0.3073,yes,19180.31,yes
Cr II,2056.254,0.1050,0.5371,0.5505,0.5641,0.7882,no,125.41,yes
Cr II,2062.234,0.0780,0.7636,0.4821,0.1620,0.5086,no,93.43,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0010,0.0010,no,9587.66,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,61.21,yes
Fe II,2249.877,0.0018,0.1744,0.1449,0.1798,0.2309,no,2.38,no
Fe II,2260.780,0.0024,0.7230,0.2301,0.2100,0.3115,yes,3.20,no
Fe II,2344.214,0.1140,1.3257,0.0984,0.4455,0.4562,yes,155.23,yes
Fe II,2374.461,0.0313,0.3926,0.0756,0.1528,0.1704,yes,43.17,yes
Fe II,2382.765,0.3200,1.4921,0.1076,0.2115,0.2373,yes,442.89,yes
Mn II,2576.877,0.3610,0.0068,0.0329,0.0729,0.0800,no,1.60,no
Fe II,2586.650,0.0691,0.3622,0.0542,0.1289,0.1398,yes,103.82,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0021,0.0021,no,1.25,no
Fe II,2600.173,0.2390,0.7670,0.0654,0.1417,0.1560,yes,360.97,yes
Mn II,2606.462,0.1980,0.2687,0.0465,0.1025,0.1126,yes,0.89,no
Mg II,2796.352,0.6150,1.9291,0.0345,0.2299,0.2325,yes,1759.49,yes
Mg II,2803.531,0.3060,0.9760,0.0280,0.2102,0.2120,yes,877.70,yes
Mg I,2852.964,1.8300,0.2676,0.0581,0.0820,0.1005,yes,0.78,no
