ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.4462,0.1539,0.0905,0.1786,yes,0.80,no
Al III,1862.790,0.2780,0.1488,0.1326,0.0687,0.1493,no,0.40,no
Zn II,2026.137,0.5010,0.0709,0.0720,0.0475,0.0863,no,16.10,yes
Cr II,2056.254,0.1050,0.0212,0.0362,0.0314,0.0479,no,3.42,no
Cr II,2062.234,0.0780,0.0923,0.0591,0.0736,0.0944,no,2.55,no
Zn II,2062.664,0.2460,0.0000,0.0362,0.0180,0.0404,no,8.05,yes
Cr II,2066.161,0.0510,0.0000,0.0386,0.0000,0.0386,no,1.67,no
Fe II,2249.877,0.0018,0.0739,0.0339,0.0641,0.0725,yes,0.06,no
Fe II,2260.780,0.0024,0.0000,0.0000,0.0000,0.0000,no,0.09,no
Fe II,2344.214,0.1140,1.2173,0.0517,0.0545,0.0752,yes,4.24,no
Fe II,2374.461,0.0313,0.9505,0.0525,0.0267,0.0589,yes,1.18,no
Fe II,2382.765,0.3200,2.0178,0.0543,0.0294,0.0618,yes,12.09,yes
Mn II,2576.877,0.3610,0.0859,0.0500,0.0556,0.0748,no,0.63,no
Fe II,2586.650,0.0691,1.1261,0.0399,0.0565,0.0692,yes,2.84,no
Mn II,2594.499,0.2800,0.4212,0.0496,0.0292,0.0575,yes,0.49,no
Fe II,2600.173,0.2390,1.8375,0.0465,0.0572,0.0737,yes,9.86,yes
Mn II,2606.462,0.1980,0.0000,0.0000,0.0000,0.0000,no,0.35,no
Mg II,2796.352,0.6150,4.2802,0.0643,0.1017,0.1203,yes,887.96,yes
Mg II,2803.531,0.3060,2.5170,0.0510,0.0543,0.0745,yes,442.95,yes
Mg I,2852.964,1.8300,0.4894,0.0749,0.0784,0.1084,yes,0.53,no
