ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.4640,0.5642,0.2106,0.6023,no,38.74,yes
Al III,1862.790,0.2780,0.0946,0.8141,0.3636,0.8916,no,19.35,yes
Zn II,2026.137,0.5010,0.0000,0.1500,0.0637,0.1630,no,37.93,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,no,8.07,yes
Cr II,2062.234,0.0780,0.0000,0.1936,0.0000,0.1936,no,6.01,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,18.96,yes
Cr II,2066.161,0.0510,0.1259,0.4342,0.4549,0.6288,no,3.94,no
Fe II,2249.877,0.0018,0.1555,0.4497,0.2967,0.5388,no,0.15,no
Fe II,2260.780,0.0024,1.7478,0.9882,0.4111,1.0703,no,0.21,no
Fe II,2344.214,0.1140,0.4853,0.2004,0.1193,0.2332,yes,9.99,yes
Fe II,2374.461,0.0313,0.0000,0.3173,0.0530,0.3217,no,2.78,no
Fe II,2382.765,0.3200,1.0242,0.4479,0.5608,0.7177,yes,28.49,yes
Mn II,2576.877,0.3610,1.3425,0.2699,0.1316,0.3003,yes,1.50,no
Fe II,2586.650,0.0691,1.8481,0.2695,0.1173,0.2939,yes,6.68,yes
Mn II,2594.499,0.2800,0.6018,0.2421,0.0546,0.2482,yes,1.17,no
Fe II,2600.173,0.2390,2.3008,0.2184,0.0764,0.2313,yes,23.22,yes
Mn II,2606.462,0.1980,0.6213,0.2130,0.0719,0.2248,yes,0.83,no
Mg II,2796.352,0.6150,1.1211,0.1169,0.1341,0.1779,yes,2.31,no
Mg II,2803.531,0.3060,0.9537,0.0984,0.1115,0.1487,yes,1.15,no
Mg I,2852.964,1.8300,0.8706,0.0942,0.0468,0.1052,yes,1.14,no
