ion,logN,logN_err,n_lines,limit
Cr II,14.224,1.231,1,
Fe II,16.098,0.981,6,
Mg I,13.155,0.460,1,
Mg II,14.451,0.359,2,>
Mn II,13.970,0.264,2,
Zn II,14.824,1.910,1,>
