ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,1.2065,0.0000,1.2065,no,486.57,yes
Al III,1862.790,0.2780,0.4492,1.9429,0.2809,1.9631,no,243.03,yes
Zn II,2026.137,0.5010,0.0000,1.0007,0.0410,1.0015,no,476.39,yes
Cr II,2056.254,0.1050,0.0045,0.9016,0.1766,0.9187,no,101.33,yes
Cr II,2062.234,0.0780,0.0000,0.4239,0.0000,0.4239,no,75.49,yes
Zn II,2062.664,0.2460,1.2434,1.0200,0.0848,1.0235,no,238.13,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,49.45,yes
Fe II,2249.877,0.0018,3.2839,3.6228,2.6280,4.4756,no,1.92,no
Fe II,2260.780,0.0024,0.0000,2.2101,0.7542,2.3353,no,2.59,no
Fe II,2344.214,0.1140,0.0000,0.2358,0.9102,0.9403,no,125.42,yes
Fe II,2374.461,0.0313,1.6770,0.7645,0.3894,0.8579,yes,34.88,yes
Fe II,2382.765,0.3200,2.3095,0.5813,0.3415,0.6742,yes,357.84,yes
Mn II,2576.877,0.3610,1.5303,0.4304,0.3856,0.5779,yes,14.21,yes
Fe II,2586.650,0.0691,1.9084,0.4964,0.3707,0.6195,yes,83.88,yes
Mn II,2594.499,0.2800,0.5638,0.5711,0.1650,0.5944,no,11.09,yes
Fe II,2600.173,0.2390,1.7422,0.5746,0.2643,0.6325,yes,291.65,yes
Mn II,2606.462,0.1980,0.9331,0.6559,0.4655,0.8043,no,7.88,yes
Mg II,2796.352,0.6150,3.0992,0.1664,0.1045,0.1965,yes,6078.65,yes
Mg II,2803.531,0.3060,2.5642,0.1826,0.1123,0.2144,yes,3032.26,yes
Mg I,2852.964,1.8300,1.6153,0.1455,0.1530,0.2111,yes,10.83,yes
