ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.4796,0.8604,0.1046,0.8668,no,2154.55,yes
Al III,1862.790,0.2780,0.0502,0.3455,0.1202,0.3658,no,1076.16,yes
Zn II,2026.137,0.5010,1.7626,1.0809,1.4403,1.8008,no,2109.48,yes
Cr II,2056.254,0.1050,1.3223,1.0075,1.0592,1.4618,no,448.68,yes
Cr II,2062.234,0.0780,0.8083,0.5146,0.4042,0.6543,no,334.27,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,1054.46,yes
Cr II,2066.161,0.0510,0.9832,0.9819,0.8319,1.2869,no,218.98,yes
Fe II,2249.877,0.0018,0.2133,0.3854,0.5368,0.6608,no,8.51,yes
Fe II,2260.780,0.0024,0.0000,0.1059,0.1458,0.1802,no,11.46,yes
Fe II,2344.214,0.1140,2.6896,0.5366,0.6678,0.8567,yes,555.35,yes
Fe II,2374.461,0.0313,1.7732,0.5282,0.2761,0.5960,yes,154.45,yes
Fe II,2382.765,0.3200,2.3581,0.4992,0.2836,0.5741,yes,1584.52,yes
Mn II,2576.877,0.3610,0.0000,0.2849,0.2279,0.3648,no,381.64,yes
Fe II,2586.650,0.0691,2.6025,0.6797,0.5860,0.8975,yes,371.44,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,298.03,yes
Fe II,2600.173,0.2390,2.4361,0.5642,0.2634,0.6227,yes,1291.42,yes
Mn II,2606.462,0.1980,2.3550,0.6149,0.4015,0.7344,yes,211.72,yes
Mg II,2796.352,0.6150,3.1978,0.6992,0.4706,0.8428,yes,7071.38,yes
Mg II,2803.531,0.3060,1.0735,0.6184,0.4307,0.7536,no,3527.48,yes
Mg I,2852.964,1.8300,0.3628,0.5372,0.6747,0.8624,no,10849.64,yes
