ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,2.2766,1.6449,0.2992,1.6719,no,59.96,yes
Al III,1862.790,0.2780,0.5564,1.0497,0.4691,1.1498,no,29.95,yes
Zn II,2026.137,0.5010,0.0000,0.4275,0.1904,0.4679,no,58.70,yes
Cr II,2056.254,0.1050,0.0966,0.6019,0.2350,0.6462,no,12.49,yes
Cr II,2062.234,0.0780,0.0000,0.2938,0.0000,0.2938,no,9.30,yes
Zn II,2062.664,0.2460,1.2845,0.8187,0.1967,0.8420,no,29.34,yes
Cr II,2066.161,0.0510,0.6946,0.4493,0.2114,0.4966,no,6.09,yes
Fe II,2249.877,0.0018,0.0000,0.0651,0.0000,0.0651,no,0.24,no
Fe II,2260.780,0.0024,0.0079,0.2730,0.1840,0.3292,no,0.32,no
Fe II,2344.214,0.1140,1.7485,0.3915,0.5110,0.6437,yes,15.45,yes
Fe II,2374.461,0.0313,0.8723,0.4942,0.3189,0.5882,no,4.30,no
Fe II,2382.765,0.3200,0.5494,0.4286,0.2745,0.5089,no,44.09,yes
Mn II,2576.877,0.3610,1.6944,0.3169,0.3263,0.4549,yes,2.91,no
Fe II,2586.650,0.0691,2.7361,0.2975,0.2946,0.4187,yes,10.34,yes
Mn II,2594.499,0.2800,1.2617,0.3368,0.1268,0.3599,yes,2.27,no
Fe II,2600.173,0.2390,3.2496,0.3044,0.1519,0.3402,yes,35.94,yes
Mn II,2606.462,0.1980,1.8028,0.3234,0.2554,0.4120,yes,1.61,no
Mg II,2796.352,0.6150,2.3678,0.1189,0.1253,0.1727,yes,7.94,yes
Mg II,2803.531,0.3060,2.3995,0.1239,0.1132,0.1678,yes,3.96,no
Mg I,2852.964,1.8300,1.2699,0.1039,0.0916,0.1385,yes,1.23,no
