ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,3.2957,0.1828,3.3007,no,20.96,yes
Al III,1862.790,0.2780,0.0000,5.7719,2.8792,6.4501,no,10.47,yes
Zn II,2026.137,0.5010,5.3420,3.9834,1.1997,4.1602,no,20.52,yes
Cr II,2056.254,0.1050,0.0000,0.8177,0.0000,0.8177,no,4.36,no
Cr II,2062.234,0.0780,0.0000,1.2032,0.0000,1.2032,no,3.25,no
Zn II,2062.664,0.2460,0.8673,1.0378,0.2651,1.0712,no,10.26,yes
Cr II,2066.161,0.0510,0.0000,0.7635,0.0239,0.7639,no,2.13,no
Fe II,2249.877,0.0018,0.6621,0.7215,0.2947,0.7793,no,0.08,no
Fe II,2260.780,0.0024,0.0000,0.2372,0.0184,0.2379,no,0.11,no
Fe II,2344.214,0.1140,0.1418,0.6723,0.6164,0.9121,no,5.40,yes
Fe II,2374.461,0.0313,2.6376,1.4218,0.3578,1.4662,no,1.50,no
Fe II,2382.765,0.3200,4.7605,1.5977,0.7819,1.7788,yes,15.41,yes
Mn II,2576.877,0.3610,1.8119,0.3079,0.2822,0.4176,yes,2.01,no
Fe II,2586.650,0.0691,1.6790,0.3046,0.1870,0.3574,yes,3.61,no
Mn II,2594.499,0.2800,0.8787,0.2962,0.0942,0.3108,yes,1.57,no
Fe II,2600.173,0.2390,1.8664,0.2897,0.0978,0.3058,yes,12.56,yes
Mn II,2606.462,0.1980,0.8582,0.2713,0.1195,0.2965,yes,1.12,no
Mg II,2796.352,0.6150,2.6936,0.0684,0.1596,0.1736,yes,38.18,yes
Mg II,2803.531,0.3060,2.7139,0.0732,0.1294,0.1487,yes,19.05,yes
Mg I,2852.964,1.8300,0.9831,0.0539,0.0714,0.0895,yes,1.10,no
