ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.6541,1.3811,1.3071,1.9015,no,14.01,yes
Al III,1862.790,0.2780,0.0000,0.1750,0.0000,0.1750,no,7.00,yes
Zn II,2026.137,0.5010,0.0000,0.1707,0.0514,0.1782,no,13.72,yes
Cr II,2056.254,0.1050,0.4429,0.4496,0.5061,0.6770,no,2.92,no
Cr II,2062.234,0.0780,0.0000,0.1942,0.0755,0.2084,no,2.17,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,6.86,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,1.42,no
Fe II,2249.877,0.0018,0.1899,0.2579,0.2003,0.3266,no,0.06,no
Fe II,2260.780,0.0024,0.0000,0.1854,0.0918,0.2069,no,0.07,no
Fe II,2344.214,0.1140,2.1127,0.3779,0.3413,0.5092,yes,3.61,no
Fe II,2374.461,0.0313,0.7957,0.3355,0.1975,0.3893,yes,1.00,no
Fe II,2382.765,0.3200,2.1236,0.3425,0.2151,0.4044,yes,10.30,yes
Mn II,2576.877,0.3610,0.0000,0.0548,0.0489,0.0735,no,12.57,yes
Fe II,2586.650,0.0691,0.6854,0.1295,0.1166,0.1743,yes,2.41,no
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,9.82,yes
Fe II,2600.173,0.2390,1.1781,0.1484,0.1218,0.1920,yes,8.40,yes
Mn II,2606.462,0.1980,0.0679,0.0958,0.0795,0.1245,no,6.97,yes
Mg II,2796.352,0.6150,2.2863,0.1262,0.1108,0.1679,yes,361.38,yes
Mg II,2803.531,0.3060,3.0587,0.1169,0.1433,0.1850,yes,180.27,yes
Mg I,2852.964,1.8300,1.2909,0.1157,0.1242,0.1697,yes,2.86,no
