ion,logN,logN_err,n_lines,limit
Cr II,14.315,0.208,2,
Fe II,15.145,0.107,6,
Mg I,13.293,0.064,1,
Mg II,15.491,0.155,2,>
Mn II,13.194,0.665,3,
Zn II,13.593,0.974,2,
