epoch,detector,grating,scale,slope,intercept,factor
1997-04-26_day3714,CCD,G750M,none,None,None,None
1997-04-26_day3714,CCD,G430M,none,None,None,None
1997-05-24_day3742,MAMA,G140L,none,None,None,None
1997-10-06_day3877,CCD,G750L,none,None,None,None
1997-10-06_day3877,CCD,G430L,none,None,None,None
1997-10-07_day3878,CCD,G750M,none,None,None,None
1998-03-07_day4029,CCD,G750M,none,None,None,None
1997-09-27_day3868,MAMA,G140L,none,None,None,None
1997-10-08_day3879,MAMA,G230L,none,None,None,None
1999-02-27_day4387,MAMA,G140L,none,None,None,None
1997-12-12_day3945,MAMA,G140L,none,None,None,None
1997-12-13_day3945,CCD,G750L,none,None,None,None
1997-12-09_day3941,CCD,G750M,none,None,None,None
1997-12-09_day3941,CCD,G430M,none,None,None,None
1999-02-21_day4380,CCD,G750L,none,None,None,None
1998-11-14_day4282,CCD,G750M,none,None,None,None
1998-11-14_day4282,CCD,G430M,none,None,None,None
2000-01-29_day4723,CCD,G750M,none,None,None,None
2000-01-29_day4723,CCD,G430M,none,None,None,None
1999-09-18_day4590,CCD,G750L,none,None,None,None
1999-09-03_day4574,CCD,G430L,none,None,None,None
1999-08-30_day4570,CCD,G750M,none,None,None,None
1999-08-31_day4571,CCD,G750M,none,None,None,None
1999-09-17_day4589,MAMA,G230L,none,None,None,None
1999-09-28_day4600,MAMA,G140L,none,None,None,None
1999-10-07_day4608,MAMA,G140L,none,None,None,None
1999-10-12_day4613,MAMA,G140L,none,None,None,None
1999-10-13_day4614,MAMA,G140L,none,None,None,None
2000-09-22_day4959,CCD,G750M,none,None,None,None
2000-05-01_day4815,CCD,G750M,none,None,None,None
2000-10-29_day4997,CCD,G750M,none,None,None,None
2000-11-03_day5001,CCD,G750L,none,None,None,None
2000-11-03_day5001,CCD,G430L,none,None,None,None
2001-04-27_day5176,CCD,G750M,none,None,None,None
2001-08-06_day5278,CCD,G750L,none,None,None,None
2001-08-06_day5278,CCD,G430L,none,None,None,None
2001-08-07_day5279,MAMA,G230L,none,None,None,None
2001-08-12_day5283,MAMA,G140L,none,None,None,None
2001-09-24_day5327,MAMA,G140L,none,None,None,None
2001-08-23_day5295,CCD,G750M,none,None,None,None
2001-08-30_day5302,CCD,G750M,none,None,None,None
2002-05-16_day5561,CCD,G750M,none,None,None,None
2002-06-08_day5583,CCD,G750L,none,None,None,None
2002-06-08_day5583,CCD,G430L,none,None,None,None
2002-10-30_day5728,CCD,G750M,none,None,None,None
2002-10-29_day5727,CCD,G750L,none,None,None,None
2002-10-29_day5727,CCD,G430L,none,None,None,None
2003-05-07_day5917,CCD,G750M,none,None,None,None
2002-10-29_day5726,MAMA,G140L,none,None,None,None
2002-10-30_day5727,MAMA,G230L,none,None,None,None
2002-08-12_day5649,MAMA,G140L,none,None,None,None
2002-07-19_day5624,MAMA,G140L,none,None,None,None
2003-01-11_day5801,MAMA,G140M,none,None,None,None
2004-07-18_day6354,CCD,G750L,none,None,None,None
2004-07-23_day6359,CCD,G750L,none,None,None,None
2004-07-20_day6356,MAMA,G140L,none,None,None,None
2009-10-21_day8275,CCD,G750L,none,None,None,None
2009-10-21_day8275,CCD,G430L,none,None,None,None
2009-10-21_day8275,CCD,G750M,none,None,None,None
2010-01-31_day8377,MAMA,G140L,none,None,None,None
2010-01-31_day8377,CCD,G750L,none,None,None,None
2009-10-29_day8283,MAMA,G230L,none,None,None,None
2009-10-29_day8283,MAMA,G140L,none,None,None,None
2011-04-25_day8827,CCD,G750M,none,None,None,None
2014-08-16_day10035,CCD,G750L,none,None,None,None
2014-08-20_day10039,CCD,G750L,none,None,None,None
2014-08-21_day10040,MAMA,G140L,none,None,None,None
2018-01-25_day11294,MAMA,G140L,none,None,None,None
2018-01-26_day11295,MAMA,G230L,none,None,None,None
2018-01-27_day11295,CCD,G430L,none,None,None,None
2018-01-28_day11297,CCD,G750L,none,None,None,None
