name,n_spec,ra,dec,instr,gratings,is_remnant,has_uv,classification
PSN2037+6607,22,309.35667,66.11995,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
SN1993J-STIS,22,148.85426,69.0205,COS;STIS,G140L;G230L,False,True,STAR;SUPERNOVA TYPE II
SN2022WSP,22,345.01474,15.97851,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
SN1999EM,20,70.36275,-2.86269,STIS,E140M;E230M;G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE II
LZSNIAN3,18,56.12746,-44.63984,STIS,G430L;G750L,False,False,EXT-STAR;SUPERNOVA TYPE IA
SN2021FXY,18,198.2565,-19.51253,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2017ERP,18,227.31176,-11.33418,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
LZSNIAN4,18,103.99985,55.40076,STIS,G430L;G750L,False,False,EXT-STAR;SUPERNOVA TYPE IA
SNNGC4414,17,186.61993,31.2265,STIS,G230L,False,True,STAR;SUPERNOVA TYPE IB
SN2025TIS,17,58.84491,-28.15908,STIS,G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II
N132D-KNOT,16,81.27296,-69.63722,COS,G130M;G160M,False,True,EXT-STAR;SUPERNOVA TYPE IB
SN2010AL,14,123.56629,18.43839,COS;STIS,G140L;G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE II
AT2022ACKO,13,49.91237,-19.39524,STIS,G140L;G230L,False,True,EXT-STAR;SUPERNOVA TYPE II
SN2013DH,12,232.50454,12.98694,STIS,G230L;G430L;G750L,False,True,STAR;SUPERNOVA TYPE IA
SNAT2018AGK,12,197.65161,-4.48574,STIS,G230L;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
SN2001EH,10,24.55042,41.65522,STIS,G140L;G230L;G430L,False,True,EXT-STAR;SUPERNOVA
SN2003GD,10,24.17771,15.73914,STIS,E140M,False,False,STAR;SUPERNOVA TYPE II
SN2001EP,10,74.25108,-4.76117,STIS,G140L;G230L;G430L,False,True,STAR;SUPERNOVA
SN2002XX,10,344.37788,-41.04053,STIS,E140M;G230L;G430L,False,True,STAR;SUPERNOVA
SN2014C,10,339.2733,34.4089,COS;STIS,G140L;G230LB;G430L,False,True,STAR;SUPERNOVA;SUPERNOVA TYPE IB
SN2016CCJ,10,257.59988,26.3969,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA;SUPERNOVA TYPE IA
PTF10YGU,10,144.37624,23.15933,STIS,G230LB;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN-MRK1309,10,179.43517,-10.17103,STIS,G230L;G430L;G750L,False,True,STAR;SUPERNOVA;SUPERNOVA TYPE IA
SN2011DH,9,202.52115,47.16977,STIS,G230L;G230LB;G430L;G750L,False,True,EXT-STAR;SUPERNOVA
SN2012CG,8,186.80335,9.42028,STIS,G230LB;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2024XRX,8,22.70854,25.91596,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA TYPE II
SN2011EK,7,36.45371,18.53333,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
SN2011BY,7,178.93983,55.32606,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
NSNF4,6,122.10975,12.33226,STIS,G230L;G430L,False,True,EXT-STAR;SUPERNOVA TYPE IA
AT2025NQF,6,328.32471,-2.23826,STIS,G230LB;G430L;G750L,False,True,STAR;SUPERNOVA
