epoch,detector,grating,scale,slope,intercept,factor
2022-04-22_day6,CCD,G430L,none,None,None,None
2022-04-22_day6,MAMA,G230L,none,None,None,None
2022-04-26_day9,CCD,G430L,none,None,None,None
2022-04-26_day9,MAMA,G230L,none,None,None,None
2022-04-27_day11,CCD,G430L,none,None,None,None
2022-04-27_day11,MAMA,G230L,none,None,None,None
2022-05-07_day21,CCD,G430L,none,None,None,None
2022-05-07_day21,MAMA,G230L,none,None,None,None
2022-05-15_day29,CCD,G430L,none,None,None,None
2022-05-15_day29,MAMA,G230L,none,None,None,None
2022-05-23_day37,CCD,G430L,none,None,None,None
2022-05-23_day37,MAMA,G230L,none,None,None,None
2022-05-02_day15,MAMA,G230L,none,None,None,None
