ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,4.1864,2.7063,2.2342,3.5094,no,24.93,yes
Al III,1862.790,0.2780,0.0000,0.9597,0.0000,0.9597,no,12.45,yes
Zn II,2026.137,0.5010,0.2137,0.4479,0.1156,0.4626,no,24.41,yes
Cr II,2056.254,0.1050,4.5147,1.6051,0.5531,1.6978,yes,2149066.16,yes
Cr II,2062.234,0.0780,1.1141,1.1745,0.1980,1.1911,no,1601091.94,yes
Zn II,2062.664,0.2460,0.0000,0.7814,0.0000,0.7814,no,12.20,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,1048861.30,yes
Fe II,2249.877,0.0018,0.0000,0.0876,0.0088,0.0881,no,0.10,no
Fe II,2260.780,0.0024,0.0000,0.0000,0.0000,0.0000,no,0.13,no
Fe II,2344.214,0.1140,1.4968,0.3409,0.2395,0.4167,yes,6.43,yes
Fe II,2374.461,0.0313,0.8508,0.5378,0.3107,0.6211,no,1.79,no
Fe II,2382.765,0.3200,1.5633,0.4037,0.3741,0.5504,yes,18.34,yes
Mn II,2576.877,0.3610,0.5259,0.4589,0.3671,0.5877,no,22.01,yes
Fe II,2586.650,0.0691,1.0055,0.4353,0.4299,0.6118,yes,4.30,no
Mn II,2594.499,0.2800,0.0000,0.1415,0.0000,0.1415,no,17.19,yes
Fe II,2600.173,0.2390,1.6071,0.5372,0.2421,0.5892,yes,14.95,yes
Mn II,2606.462,0.1980,1.6625,0.5296,0.3622,0.6416,yes,12.21,yes
Mg II,2796.352,0.6150,1.8449,0.8825,0.3568,0.9519,yes,14.89,yes
Mg II,2803.531,0.3060,0.8112,0.6045,0.2583,0.6573,no,7.43,yes
Mg I,2852.964,1.8300,0.1716,0.3719,0.4120,0.5550,no,125.56,yes
