epoch,detector,grating,scale,slope,intercept,factor
2021-09-14_day261,MAMA,G140L,none,None,None,None
2021-09-14_day261,MAMA,G230L,none,None,None,None
2022-04-05_day464,MAMA,G140L,none,None,None,None
2022-04-05_day464,MAMA,G230L,none,None,None,None
2021-07-26_day211,MAMA,G140L,none,None,None,None
2021-07-26_day211,MAMA,G230L,none,None,None,None
2023-04-14_day838,MAMA,G140L,none,None,None,None
2023-04-14_day838,MAMA,G230L,none,None,None,None
2023-07-16_day931,MAMA,G140L,none,None,None,None
2023-07-16_day931,MAMA,G230L,none,None,None,None
