ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.0000,0.0000,0.0000,0.0000,no,2295468.05,yes
Al III,1862.790,0.2780,2.9482,0.7728,0.5129,0.9275,yes,1146543.98,yes
Zn II,2026.137,0.5010,0.2280,0.4248,0.9376,1.0293,no,487.15,yes
Cr II,2056.254,0.1050,0.0000,0.2647,0.4654,0.5354,no,103.61,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,77.19,yes
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,243.51,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0478,0.0478,no,50.57,yes
Fe II,2249.877,0.0018,0.2863,0.1994,0.2535,0.3225,no,1.97,no
Fe II,2260.780,0.0024,1.1185,0.3335,0.3757,0.5023,yes,2.65,no
Fe II,2344.214,0.1140,1.9332,0.2058,0.2899,0.3556,yes,128.25,yes
Fe II,2374.461,0.0313,0.0000,0.0344,0.0000,0.0344,no,35.67,yes
Fe II,2382.765,0.3200,2.7103,0.2854,0.5138,0.5877,yes,365.92,yes
Mn II,2576.877,0.3610,0.6309,0.2317,0.5618,0.6077,yes,0.94,no
Fe II,2586.650,0.0691,1.4747,0.2901,0.4871,0.5670,yes,85.78,yes
Mn II,2594.499,0.2800,0.0000,0.0000,0.0000,0.0000,no,0.74,no
Fe II,2600.173,0.2390,2.8287,0.2826,0.4757,0.5533,yes,298.23,yes
Mn II,2606.462,0.1980,0.4258,0.2417,0.4204,0.4849,no,0.52,no
Mg II,2796.352,0.6150,1.0209,0.1180,0.2036,0.2354,yes,5.19,yes
Mg II,2803.531,0.3060,1.6363,0.1459,0.2037,0.2506,yes,2.59,no
Mg I,2852.964,1.8300,0.0000,0.0773,0.0580,0.0966,no,2505.55,yes
