ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.2717,0.1266,0.2132,0.2480,yes,0.47,no
Al III,1862.790,0.2780,0.0000,0.0000,0.0000,0.0000,no,0.24,no
Zn II,2026.137,0.5010,0.3283,0.0624,0.0793,0.1009,yes,0.53,no
Cr II,2056.254,0.1050,0.2914,0.0519,0.0391,0.0649,yes,0.63,no
Cr II,2062.234,0.0780,0.3934,0.0640,0.0458,0.0787,yes,0.47,no
Zn II,2062.664,0.2460,0.0000,0.0000,0.0000,0.0000,no,0.27,no
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,0.31,no
Fe II,2249.877,0.0018,0.2887,0.0231,0.0343,0.0414,yes,0.19,no
Fe II,2260.780,0.0024,0.2222,0.0188,0.0283,0.0340,yes,0.26,no
Fe II,2344.214,0.1140,1.8714,0.0218,0.0261,0.0340,yes,12.44,yes
Fe II,2374.461,0.0313,1.2599,0.0200,0.0191,0.0276,yes,3.46,no
Fe II,2382.765,0.3200,2.3393,0.0212,0.0191,0.0285,yes,35.48,yes
Mn II,2576.877,0.3610,0.2776,0.0169,0.0379,0.0415,yes,0.28,no
Fe II,2586.650,0.0691,1.2747,0.0137,0.0361,0.0386,yes,8.32,yes
Mn II,2594.499,0.2800,0.2134,0.0180,0.0300,0.0350,yes,0.22,no
Fe II,2600.173,0.2390,2.0049,0.0163,0.0332,0.0370,yes,28.92,yes
Mn II,2606.462,0.1980,0.1048,0.0155,0.0295,0.0333,yes,0.15,no
Mg II,2796.352,0.6150,4.1504,0.0133,0.0527,0.0544,yes,10199.34,yes
Mg II,2803.531,0.3060,3.0444,0.0130,0.0454,0.0472,yes,5087.82,yes
Mg I,2852.964,1.8300,0.5796,0.0178,0.0259,0.0315,yes,0.70,no
