ion,logN,logN_err,n_lines,limit
Al III,15.825,2.335,1,>
Cr II,15.844,2.322,1,>
Fe II,16.122,0.565,6,
Mg I,13.640,1.405,1,>
Mg II,16.821,0.270,2,>
