ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,0.7487,0.8386,0.2794,0.8840,no,172.20,yes
Al III,1862.790,0.2780,1.6658,0.7136,0.2179,0.7461,yes,86.01,yes
Zn II,2026.137,0.5010,0.4747,1.0102,0.9917,1.4156,no,334.09,yes
Cr II,2056.254,0.1050,1.6749,0.8185,0.2498,0.8558,yes,37.53,yes
Cr II,2062.234,0.0780,0.0000,0.0000,0.0000,0.0000,no,27.96,yes
Zn II,2062.664,0.2460,0.2463,0.5528,0.2782,0.6189,no,167.00,yes
Cr II,2066.161,0.0510,0.0000,0.0000,0.0000,0.0000,no,18.32,yes
Fe II,2249.877,0.0018,0.3686,0.3746,0.2920,0.4750,no,1.35,no
Fe II,2260.780,0.0024,1.1091,0.3665,0.3015,0.4745,yes,1.82,no
Fe II,2344.214,0.1140,1.4213,0.2798,0.0987,0.2967,yes,87.95,yes
Fe II,2374.461,0.0313,1.2360,0.2720,0.1203,0.2974,yes,24.46,yes
Fe II,2382.765,0.3200,2.7152,0.2596,0.1240,0.2876,yes,250.95,yes
Mn II,2576.877,0.3610,0.0000,0.0000,0.0000,0.0000,no,306.16,yes
Fe II,2586.650,0.0691,1.1963,0.2091,0.2070,0.2942,yes,58.83,yes
Mn II,2594.499,0.2800,0.0000,0.1353,0.0388,0.1408,no,239.09,yes
Fe II,2600.173,0.2390,3.0704,0.2963,0.1677,0.3405,yes,204.53,yes
Mn II,2606.462,0.1980,0.4068,0.2825,0.1575,0.3234,no,169.85,yes
Mg II,2796.352,0.6150,3.4833,0.1206,0.0942,0.1530,yes,2830.96,yes
Mg II,2803.531,0.3060,2.9652,0.1419,0.1086,0.1787,yes,1412.19,yes
Mg I,2852.964,1.8300,1.6743,0.4068,0.6432,0.7611,yes,5.67,yes
