ion,logN,logN_err,n_lines,limit
Cr II,13.694,0.162,1,
Fe II,14.923,0.041,7,
Mg I,12.629,0.036,1,
Mg II,16.858,0.078,2,>
Mn II,12.971,0.927,1,
