ion,lam,f,EW_A,EW_err_mc,EW_err_cont,EW_err_tot,detected,tau0,saturated
Al III,1854.716,0.5590,1.5767,2.2518,0.6002,2.3305,no,61.54,yes
Al III,1862.790,0.2780,3.1361,1.9637,0.4389,2.0122,no,30.74,yes
Zn II,2026.137,0.5010,1.3104,2.5260,0.6823,2.6165,no,60.25,yes
Cr II,2056.254,0.1050,0.0000,0.0000,0.0000,0.0000,yes,12.81,yes
Cr II,2062.234,0.0780,0.0000,0.4120,0.0000,0.4120,no,9.55,yes
Zn II,2062.664,0.2460,2.0361,1.5722,0.1927,1.5839,no,30.12,yes
Cr II,2066.161,0.0510,2.4064,3.8061,1.3540,4.0398,no,6.25,yes
Fe II,2249.877,0.0018,1.0880,0.8316,0.4760,0.9582,no,0.24,no
Fe II,2260.780,0.0024,1.6670,0.9716,0.6087,1.1465,no,0.33,no
Fe II,2344.214,0.1140,1.2025,0.4559,0.6749,0.8145,yes,15.86,yes
Fe II,2374.461,0.0313,1.1851,0.3695,0.2070,0.4236,yes,4.41,no
Fe II,2382.765,0.3200,1.8846,0.4787,0.2682,0.5487,yes,45.25,yes
Mn II,2576.877,0.3610,0.2038,0.2726,0.2164,0.3480,no,55.21,yes
Fe II,2586.650,0.0691,0.5173,0.3139,0.2518,0.4024,no,10.61,yes
Mn II,2594.499,0.2800,0.4593,0.3405,0.2339,0.4131,no,43.12,yes
Fe II,2600.173,0.2390,1.8714,0.4040,0.2299,0.4649,yes,36.88,yes
Mn II,2606.462,0.1980,0.0000,0.1483,0.0842,0.1706,no,30.63,yes
Mg II,2796.352,0.6150,4.0823,0.1466,0.2698,0.3070,yes,49391.93,yes
Mg II,2803.531,0.3060,2.6901,0.1457,0.1536,0.2117,yes,24638.59,yes
Mg I,2852.964,1.8300,1.2138,0.4248,0.5830,0.7213,yes,3.07,no
